Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
33,1794,0,62.387834787368774,2048,33,320,nan,nan,10.0,10.0,54.36363636363637,18.88372424397036,59.0,4,82,-113.50324304559918,52.2056653092954,-138.41855776309967,-162.4056018590927,10.606594562530518,54.36363636363637,18.88372424397036,59.0,4,82,-84.86552459096436,38.03192933171972,-102.47106764436411,-116.79515596429002,10.159559197256085,0.18181818181818182,0.385694607919935,0.0,False,True,-0.005259792004844385,0.008109948368914242,0.0005088670115968308,-0.019356616542567956,0.00278209534565535,1254.747417640686,325.58264063590053,1202.1041259765625,588.108154296875,2082.453857421875,15448.105116271972,3643.1157697088993,15884.2724609375,5738.7255859375,22970.607421875,3.753560397773981,0.063736420111938,3.7604942321777344,3.5652194023132324,3.904539108276367,45.930832421779634,3.0773094850269844,46.042497634887695,37.603858947753906,52.832855224609375
37,3707,1,126.89801406860352,4096,70,640,31.746927737894836,4.960457459046069,10.0,10.0,52.957142857142856,19.773312255437137,59.0,4,82,-110.54166412353516,55.40329017515233,-138.45843106508255,-162.4056018590927,10.606594562530518,52.957142857142856,19.773312255437137,59.0,4,82,-82.91406779034502,40.25302483043983,-103.75269931524701,-119.40142936391487,10.159559197256085,0.22857142857142856,0.41991252733425916,0.0,False,True,-0.00559330464405537,0.008448745686332538,0.0004214786630463291,-0.019680613386694107,0.0031375189337427,733.4174492835998,142.19633067678723,710.7178649902344,448.4386291503906,1228.537841796875,8263.242040729523,3695.193329126477,8085.73779296875,453.0868225097656,16392.861328125,3.7605407193303106,0.047799759161996545,3.7611359357833862,3.6137092113494873,3.906822919845581,45.66576225757599,1.9393756151117902,45.666677474975586,39.78958511352539,51.48281478881836
36,5417,2,190.7998526096344,6144,106,960,32.049156123810036,5.007680644345318,10.0,10.0,54.17,18.48028949989691,59.0,4,84,-111.808049589172,51.85959314994777,-137.01586812734604,-162.4056018590927,10.606594562530518,54.17,18.48028949989691,59.0,4,84,-84.13004952009769,37.07529984542068,-101.91231879746715,-119.40142936391487,10.159559197256085,0.22,0.41424630354415964,0.0,False,True,-0.005619579662877465,0.008523705657701507,0.0002525982372147684,-0.01999713108817694,0.005031223104033922,596.2738576889038,86.32768955645834,595.9266967773438,337.9095764160156,833.825439453125,3624.5623358726502,2486.63609291055,3191.73828125,424.26239013671875,19464.78515625,3.7324551075696943,0.05022170239373711,3.7343369722366333,3.565464973449707,3.913231372833252,44.439822149276736,2.078539282882265,44.56039237976074,38.025390625,52.160404205322266
38,5397,3,253.97553038597107,8192,144,1280,32.417539029032895,5.06524047328639,10.0,10.0,53.97,18.404594535061076,59.0,6,84,-112.43510627742857,51.39663755774903,-137.37283474206924,-162.05073416233063,10.514274954795837,53.97,18.404594535061076,59.0,6,84,-84.87249389345148,37.106525310840404,-102.01950209551855,-119.40142936391487,9.69188233618372,0.21,0.40730823708832603,0.0,False,True,-0.005225139650953769,0.00852814633588661,0.0003317797892279234,-0.01999713108817694,0.005031223104033922,390.77402582168577,63.499495315492204,385.9461212158203,232.3214874267578,558.2770385742188,7878.325798034668,5905.784458694972,5913.4482421875,1219.5511474609375,44065.015625,3.764486788213253,0.04562297454038833,3.764548897743225,3.6443896293640137,3.8977484703063965,45.857161009311675,1.83319764059257,45.89836311340332,41.05748748779297,51.33019256591797
36,5636,4,319.2305746078491,10240,180,1600,31.384546963702267,4.9038354630784795,10.0,10.0,56.36,16.2822111520518,58.5,5,88,-119.53617789994925,44.217971314959534,-137.55086541175842,-162.05073416233063,11.123296111822128,56.36,16.2822111520518,58.5,5,88,-90.03471343113375,31.805155073259204,-102.22122885585746,-119.984388540372,10.416148685317584,0.15,0.3570714214271425,0.0,False,True,-0.00394566447324738,0.008074499651375069,0.0007842456791171404,-0.01999713108817694,0.005200211731271193,409.8822419166565,55.66327096248011,409.7166290283203,241.4061737060547,546.9463500976562,14704.330427932739,9972.822623947804,12678.6748046875,1932.9168701171875,52255.6953125,3.6842141434550286,0.045015655791760485,3.6845638751983643,3.541614055633545,3.791325569152832,42.39874283075333,1.7460320947086718,42.40452194213867,36.85371398925781,46.4880485534668
42,5420,5,383.0067150592804,12288,222,1920,32.11232265708607,5.017550415169699,10.0,10.0,54.2,17.400574703152763,58.0,5,88,-116.87901768129319,48.783159123751844,-138.7253202199936,-162.05073416233063,11.123296111822128,54.2,17.400574703152763,58.0,5,88,-87.99604879320728,35.02101827371109,-103.99144169850777,-119.984388540372,10.416148685317584,0.19,0.39230090491866065,0.0,False,True,-0.003931133333868428,0.00825601632529488,0.0008621893055533458,-0.019294973254260328,0.005200211731271193,369.42654581069945,54.1664585653568,366.7399597167969,235.08448791503906,547.348876953125,15930.384299087524,10555.618534752282,13564.19140625,1683.5982666015625,54216.2421875,3.7532815925776957,0.0447221319251263,3.7532423734664917,3.6382038593292236,3.8626317977905273,45.097660052776334,1.7937701281776697,45.081430435180664,40.456336975097656,49.48002243041992
42,5076,6,448.96940898895264,14336,264,2240,31.04785262687309,4.85122697294892,10.0,10.0,50.76,19.449483283624787,57.0,5,85,-106.83538982000202,55.942453235823145,-137.29810482263565,-157.00153744220734,8.328384518623352,50.76,19.449483283624787,57.0,5,85,-80.73362316063995,40.27649508582768,-102.16194143333018,-116.98097047820373,7.730593683668003,0.27,0.4439594576084623,0.0,False,True,-0.005129418581422309,0.00899203660342498,0.0004560313062859228,-0.019815009920989446,0.004225883878711534,441.4657368659973,70.95577064690458,439.85711669921875,268.82080078125,667.79150390625,16148.78501701355,11712.242261234282,13818.7705078125,1431.5322265625,60484.83984375,3.727162276208401,0.051392044604391195,3.729382276535034,3.559659719467163,3.850675106048584,44.259535777568814,2.0670318151463953,44.32225227355957,37.43555450439453,49.42729949951172
42,4860,7,512.6976583003998,16384,306,2560,32.13645474538604,5.0213210539665685,10.0,10.0,48.6,19.84288285506922,56.0,5,85,-103.48369229488075,58.15883336335434,-136.31450599431992,-158.98741269111633,7.694763660430908,48.6,19.84288285506922,56.0,5,85,-78.70641770969547,42.39592807632276,-102.54320573567225,-116.98097047820373,6.717215117248813,0.29,0.45376205218153715,0.0,False,True,-0.00540043081747571,0.009292748444987632,0.00038642681322047234,-0.020027229390342044,0.006321262290440943,433.95576305389403,75.30117387662563,433.08489990234375,262.2478332519531,675.9043579101562,16632.84200363159,11105.254464636624,13908.50146484375,2052.653076171875,61129.45703125,3.712362663447857,0.046780296664811045,3.7115811109542847,3.567110061645508,3.8327131271362305,43.650889980792996,1.8272890416132717,43.55406188964844,38.016822814941406,48.34455108642578
50,4468,8,576.6836557388306,18432,356,2880,32.00700281293022,5.001094189520347,10.0,10.0,44.68,21.80636604297011,55.0,4,73,-93.68288627039641,63.18427449167495,-134.0643618106842,-158.98741269111633,10.368726074695587,44.68,21.80636604297011,55.0,4,73,-71.42493114948317,46.70447154289712,-101.5589655137415,-120.57884930022843,9.886822535263299,0.35,0.4769696007084727,0.0,False,True,-0.0064852073811616185,0.009777898205247272,0.0003370649438611123,-0.020027229390342044,0.006321262290440943,364.20840978622437,71.12657175919153,363.1293029785156,169.7376708984375,606.9097900390625,19255.58920402527,13503.625005154972,15964.837890625,1848.2728271484375,87866.78125,3.724709288775921,0.04735526959650725,3.7245585918426514,3.5802035331726074,3.8609402179718018,44.402413284778596,1.8509877805323534,44.38391304016113,38.64427185058594,49.7038459777832
48,4131,9,643.3698992729187,20480,404,3200,30.71098162776435,4.79859087933818,10.0,10.0,41.31,22.556016935620526,55.0,4,73,-81.70761335140094,64.87184113577048,-125.85927818715572,-157.34569704532623,12.441705048084259,41.31,22.556016935620526,55.0,4,73,-62.73689312932622,48.21482666930402,-94.50548737281459,-120.57884930022843,11.898231960163354,0.44,0.4963869458396343,0.0,False,True,-0.008293620921887608,0.00993433180999338,-0.009524945304691265,-0.020014857791330137,0.005865453826944034,434.40907011032107,81.11560686830349,432.6160125732422,241.81100463867188,721.8609008789062,19891.16726150513,12986.059447579135,17723.50390625,1997.219482421875,75570.7890625,3.738966121524572,0.0474460076864406,3.736876964569092,3.59921932220459,3.8624472618103027,45.05466233491897,1.8502022410208872,44.93199920654297,39.521453857421875,49.67912292480469
