Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
62,1821,0,106.55951642990112,2048,62,320,nan,nan,10.0,10.0,29.370967741935484,8.14036907891128,28.0,14,54,-33.036810695524174,15.313039324155225,-31.06361509859562,-83.88485807180405,0.038932375609874725,29.370967741935484,8.14036907891128,28.0,14,54,-28.00363417208094,12.291398462377362,-26.638264374505003,-68.58479560919855,-0.3067278618506566,0.016129032258064516,0.1259717689662364,0.0,False,True,0.0018622568220816903,0.0035965384960746235,0.0019437199651184262,-0.019047354281561665,0.010631647648092518,121.33020396232605,57.66542297254986,97.34364318847656,46.37767028808594,307.16204833984375,2466.784379196167,1615.404362806636,1931.224609375,406.8554382324219,7570.4775390625,3.913626440614462,0.05352222904696706,3.9148045778274536,3.7621684074401855,4.04624080657959,56.20886226892471,3.71331985903718,56.243967056274414,46.225032806396484,65.50947570800781
64,3191,1,204.78289604187012,4096,126,640,20.85043304446064,3.257880163196975,10.0,10.0,31.91,8.366713811288157,31.0,16,55,-36.268763777911666,17.82083442305685,-34.009103775024414,-119.9743817448616,-9.617753192782402,31.91,8.366713811288157,31.0,16,55,-30.216669290509152,13.379495569918598,-29.166130441548084,-82.08334866739953,-8.826613630651153,0.0,0.0,0.0,False,False,0.0017581656298739936,0.0021751970200424024,0.0016964907871423462,-0.003956613345772658,0.010631647648092518,93.53156417608261,24.661166042829514,91.19952011108398,43.329193115234375,188.7585906982422,2369.4967809677123,1209.4567866090097,2176.892578125,535.1363525390625,8112.13330078125,3.8823070213198663,0.05380915740707139,3.8821773529052734,3.711430549621582,4.0474958419799805,54.247820782661435,3.624632475591603,54.16422462463379,42.83491516113281,65.25709533691406
70,2943,2,313.4335479736328,6144,196,960,18.849403695122167,2.9452193273628384,10.0,10.0,29.43,8.079919554054978,29.5,4,47,-34.0977091832459,16.339439224680486,-32.343320071697235,-89.70842355489731,-9.617753192782402,29.43,8.079919554054978,29.5,4,47,-28.94611152810176,13.21768896425174,-27.404763201409885,-73.190579923932,-8.826613630651153,0.0,0.0,0.0,False,False,0.001731773963087985,0.0029656258777597043,0.001688248497069375,-0.008175488407936304,0.009627205469595723,88.15277940034866,21.945519722841127,85.89881134033203,37.617733001708984,171.77699279785156,2405.019758605957,1170.1506185356525,2181.9434814453125,636.08203125,6542.57275390625,3.8965597473084927,0.05510957931840592,3.8988935947418213,3.753990888595581,4.079709053039551,55.103678691387174,3.6345510608408356,55.153873443603516,45.57768630981445,66.85799407958984
72,2890,3,413.7896122932434,8192,268,1280,20.407336755231842,3.1886463680049753,10.0,10.0,28.9,7.915175298121957,28.0,4,48,-38.05504282429814,20.732240520787425,-33.92049652338028,-98.08941841125488,-1.8986059129238129,28.9,7.915175298121957,28.0,4,48,-32.19833656546155,16.692863669938106,-29.865114992843743,-74.87482929894607,-2.208039141367018,0.01,0.09949874371066199,0.0,False,True,0.0010249978019915213,0.004017864152794229,0.001391073985724911,-0.019139848939152576,0.013923801099904376,131.18011512756348,26.57540727572398,128.80590057373047,59.11204147338867,254.60523986816406,3365.266791725159,1572.842844978578,3035.7532958984375,1019.9208374023438,12429.77734375,3.854258219897747,0.05188012561660693,3.8542497158050537,3.728576421737671,3.999776601791382,52.38282023668289,3.4270660917942974,52.33924674987793,44.31824493408203,62.25895690917969
69,2844,4,519.1327228546143,10240,337,1600,19.441233404693087,3.0376927194832946,10.0,10.0,28.44,8.24174738753864,28.0,4,51,-36.098332738876344,18.057955838055754,-32.87732219696045,-98.08941841125488,2.1206220537424088,28.44,8.24174738753864,28.0,4,51,-30.69263545184574,14.575818120666163,-28.835958131587603,-74.87482929894607,1.875990282798413,0.01,0.09949874371066199,0.0,False,True,0.0014775910343385122,0.003987292497009747,0.001391073985724911,-0.019091599751271948,0.013923801099904376,86.58132914304733,20.04166430867493,85.51858139038086,41.757015228271484,148.1494598388672,2901.0799823760985,1213.7571671883668,2691.5008544921875,848.7869873046875,7675.00732421875,3.8724239714443685,0.0485755098282558,3.8718910217285156,3.7137584686279297,4.077825546264648,53.60318447351456,3.194850324770736,53.449588775634766,43.101104736328125,67.01945495605469
77,2846,5,618.1310105323792,12288,414,1920,20.68722649694862,3.232379140148222,10.0,10.0,28.46,8.574870261409208,29.0,4,48,-33.39018784120679,15.101612943282374,-32.36077357828617,-72.97208359837532,1.6984556317329407,28.46,8.574870261409208,29.0,4,48,-28.563485552384513,12.603911276327194,-26.9154983516958,-59.41942613383113,1.425817485007859,0.04,0.19595917942265423,0.0,False,True,0.001434546740312663,0.005123544939793068,0.0016737008956043548,-0.019952393567757423,0.011911054459715492,60.63852106332779,16.550491741405647,58.54044723510742,27.790678024291992,122.53409576416016,2180.782956504822,899.9132244485041,2009.2261962890625,944.621337890625,5911.30029296875,3.854455230385065,0.05363971842075874,3.853400230407715,3.686248302459717,3.99896240234375,52.421097135543825,3.510233325988289,52.268964767456055,41.318092346191406,61.77116012573242
75,2689,6,730.8017990589142,14336,489,2240,18.176849800937326,2.8401327813964574,10.0,10.0,26.89,6.432565584585982,27.0,13,48,-29.26413416311145,14.88694916765783,-28.335201874375343,-74.41968661546707,-0.19566574692726135,26.89,6.432565584585982,27.0,13,48,-25.13598142517219,12.180830897130372,-24.068900457185215,-63.73835403685601,-0.535723779843047,0.02,0.13999999999999999,0.0,False,True,0.0013706587793574831,0.004050345204373474,0.0016035496705062158,-0.019408013077463565,0.011529747923477884,54.779176622629166,16.415797802975003,53.66753005981445,21.924434661865234,127.12665557861328,2181.0863092422487,828.0830739737665,2009.855712890625,883.3700561523438,6158.7470703125,3.8842531852424145,0.05728242844155329,3.879695177078247,3.6919431686401367,4.061166286468506,54.08206275701523,3.6322430415690805,53.964359283447266,41.71906661987305,65.5587387084961
76,2687,7,852.0749835968018,16384,565,2560,16.887492546715254,2.6386707104242584,10.0,10.0,26.87,6.61007564253239,27.0,13,49,-29.5755247685872,16.043533153331996,-28.348625630140305,-92.41711503267288,-0.6265509575605392,26.87,6.61007564253239,27.0,13,49,-25.428744257385222,13.176455807129045,-24.558163503494395,-73.86407695571457,-0.9163735227513179,0.03,0.17058722109231983,0.0,False,True,0.000601684002408895,0.004892411808116897,0.0015775611510445847,-0.019261721991234285,0.008575425013087473,57.39517493844032,19.057733381812994,55.757328033447266,21.57682991027832,126.68524169921875,2419.8941373825073,985.3938533023158,2224.3770751953125,879.1880493164062,7761.81982421875,3.8511904783546926,0.05079461887191125,3.8483431339263916,3.7010488510131836,4.0366010665893555,51.94832615852356,3.190841551477896,51.72885704040527,42.742347717285156,63.411834716796875
81,2585,8,963.3971898555756,18432,646,2880,18.39704825144523,2.874538789288317,10.0,10.0,25.85,7.599177587081382,26.0,3,44,-28.386835134197028,15.784873531697894,-27.389040619134903,-89.07893499732018,2.508644074201584,25.85,7.599177587081382,26.0,3,44,-24.615098043375593,13.379436793278966,-23.917706256011726,-73.23536585017757,2.3571960660373783,0.05,0.21794494717703367,0.0,False,True,0.0007969230278718516,0.0056952122023086965,0.0018698387105822861,-0.019261721991234285,0.01692356909321277,58.94446125626564,19.577035178361566,56.02097511291504,22.026071548461914,125.30500030517578,2705.3311117172243,1055.0380062486033,2492.0595703125,934.2084350585938,6341.4287109375,3.815305304527283,0.048351070378197934,3.815202474594116,3.6722540855407715,3.9735426902770996,49.74504164457321,2.9746831075502915,49.79313850402832,41.13554000854492,59.29522705078125
75,2637,9,1081.1840660572052,20480,721,3200,17.387336060209268,2.7167712594076985,10.0,10.0,26.37,7.762287034115655,26.0,3,53,-26.709352037757636,12.735118699761292,-26.163791552186012,-76.2367634177208,1.907793790102005,26.37,7.762287034115655,26.0,3,53,-23.066465545150226,10.332715159075335,-22.550380321251765,-60.54783319609899,1.6673032362733275,0.03,0.1705872210923198,0.0,False,True,0.0012554121273027046,0.004611949836915803,0.0016936622404149365,-0.019311127228208685,0.01692356909321277,44.26366382241249,12.189911202272878,42.85137748718262,20.952112197875977,104.76985931396484,1936.8407653808595,766.5769729481448,1832.9267578125,758.482666015625,5523.8046875,3.823735139518976,0.05044085363164105,3.8225181102752686,3.7168986797332764,3.9676570892333984,50.54599344730377,3.0678357492846886,50.43769836425781,43.919193267822266,59.15631103515625
76,2701,10,1192.738641500473,22528,797,3520,18.35872703438803,2.8685510991231298,10.0,10.0,27.01,8.095054045526812,27.5,6,53,-27.097473144568504,12.010779719567957,-26.68907757103443,-67.85035362839699,0.9241225235164165,27.01,8.095054045526812,27.5,6,53,-23.366867390925687,10.026328673617519,-23.108607178443698,-61.06597011827438,0.6917380197380689,0.03,0.17058722109231983,0.0,False,True,0.0008570960085833643,0.004806515130884433,0.0014007966079077339,-0.01988879357796941,0.015538573976937614,38.42123247981071,9.669755119347537,36.54795265197754,16.50246238708496,74.14769744873047,1864.1940536499023,677.3160030602934,1737.1742553710938,823.4188842773438,4698.15478515625,3.8017969079315663,0.04888678859854004,3.8025519847869873,3.678102493286133,3.9916539192199707,49.21028248071671,2.920843803603686,49.32590866088867,41.61085510253906,60.83054733276367
78,2624,11,1314.7912304401398,24576,875,3840,16.779652261308204,2.621820665829407,10.0,10.0,26.24,6.89799971006088,26.0,4,43,-26.241207811236382,13.443227544231696,-25.86840796470642,-95.38226705789566,0.9241225235164165,26.24,6.89799971006088,26.0,4,43,-22.66247248277463,10.854687154258787,-22.11374570756966,-72.47666447568089,0.6917380197380689,0.03,0.17058722109231983,0.0,False,True,0.0008007961823296875,0.004783589484163612,0.00125193303735803,-0.01988879357796941,0.015538573976937614,55.175623738765715,19.994007714807253,51.89599418640137,19.424230575561523,123.59059143066406,2490.067082977295,1087.5728152527415,2245.939208984375,998.2537841796875,6477.97216796875,3.8082157783210278,0.05093995685454648,3.8043822050094604,3.6877331733703613,3.9667398929595947,49.582932722568515,2.9291576322422745,49.48093032836914,42.778682708740234,59.066062927246094
83,2440,12,1443.3961367607117,26624,958,4160,15.924742364766201,2.4882409944947192,10.0,10.0,24.4,6.89492567037528,25.0,4,41,-25.12478331580758,12.474650401599657,-22.957642897963524,-70.90674811601639,1.4248767346143723,24.4,6.89492567037528,25.0,4,41,-22.112831662098827,10.900104632477728,-20.428679839351002,-57.59366006038739,1.1977547492191656,0.01,0.09949874371066199,0.0,False,True,0.001393167675102733,0.0039805899692813285,0.0014966897113394967,-0.019143861305064264,0.022223715638068076,44.267364299297334,11.969999944962074,42.717567443847656,21.038532257080078,87.83296203613281,2269.187508583069,803.549164434772,2137.2130126953125,789.5448608398438,5358.98681640625,3.75730461999774,0.04916657360912603,3.7556415796279907,3.6402995586395264,3.9084861278533936,46.89251629114151,2.8005564911061263,46.79339790344238,40.56329345703125,55.63633346557617
