Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
96,1998,0,88.08183455467224,2048,96,320,nan,nan,10.0,10.0,20.8125,3.7812930438321404,20.5,8,32,-50.05934742217263,7.1149195219764,-49.79352056980133,-62.285266160964966,-3.366700053215027,20.8125,3.7812930438321404,20.5,8,32,-45.087563880296976,6.0843520217480735,-45.17212615417489,-55.419651178465095,-3.476987569693983,0.010416666666666666,0.1015291077584267,0.0,False,True,0.004194784743506823,0.004799010364293804,0.0035804729237734756,-0.018039402627910095,0.02594320789460272,206.58858561515808,97.48010934314107,171.55342864990234,92.8768081665039,507.3843688964844,4382.707612991333,2351.7980101353114,4383.14599609375,358.8572692871094,8666.69140625,3.7419947065412997,0.05257881019882349,3.7422046661376953,3.5959787368774414,3.89239239692688,45.77625609636307,2.2531887890174054,45.82286071777344,39.66763687133789,52.28847885131836
96,2133,1,175.2226116657257,4096,192,640,23.502200323391644,3.6722188005299445,10.0,10.0,21.33,4.106226978626487,21.0,12,37,-50.2431774109602,6.270429835633806,-50.09575808048248,-64.71735525131226,-27.9414494484663,21.33,4.106226978626487,21.0,12,37,-45.113078289544575,5.283495054621987,-45.393624081065724,-57.469259316849666,-23.520071907886013,0.0,0.0,0.0,False,False,0.004995711461398573,0.006279655022847032,0.0037871852830758806,-0.015798370830205966,0.031247834490396587,89.4908284187317,11.603273927614964,89.9736213684082,56.67254638671875,130.4627227783203,850.6793416500092,478.6139789843808,765.1620788574219,189.9787139892578,2510.330322265625,3.7281897269189357,0.05062383683303536,3.7302898168563843,3.6098365783691406,3.87888240814209,45.17172808647156,2.123705108424209,45.21794509887695,40.267940521240234,51.564449310302734
98,2123,2,262.5070011615753,6144,290,960,23.463531243434804,3.666176756786688,10.0,10.0,21.23,3.7758575184982814,21.0,9,31,-50.42034168321639,7.117933573582419,-50.53522789478302,-65.21918368339539,-3.62892659381032,21.23,3.7758575184982814,21.0,9,31,-45.286576746221854,5.982100069894377,-45.68786720973375,-56.221513061482625,-3.7394438613835606,0.01,0.09949874371066199,0.0,False,True,0.005339626954496945,0.005744030599037951,0.00456726860373631,-0.018123548404125278,0.03963073119985078,81.62979017496109,11.075373304651736,80.43592834472656,54.86016845703125,148.26649475097656,953.1609415054321,473.55111874041796,861.2089538574219,256.657470703125,2823.879638671875,3.6879878200590612,0.047928613264720574,3.6885844469070435,3.5488364696502686,3.82714581489563,43.40692274570465,2.004969401834398,43.447187423706055,37.5612907409668,49.34943389892578
102,2002,3,354.1060037612915,8192,392,1280,22.358322054549813,3.4934878210234084,10.0,10.0,20.02,4.096291005287588,20.0,2,31,-49.22357711642981,8.757329159350244,-49.51286715269089,-62.58551287651062,3.3518404960632324,20.02,4.096291005287588,20.0,2,31,-44.39012179847933,7.647725272997948,-45.039424770496026,-55.25359887172061,3.302604088783264,0.02,0.13999999999999999,0.0,False,True,0.0047068560517671,0.006513915413527442,0.004414663772618996,-0.018060609585939025,0.03579246572062639,69.97675213813781,13.174256972625535,69.16701126098633,38.8358154296875,113.17998504638672,1199.1316878318787,528.074770359227,1131.4867553710938,380.5970458984375,3435.90625,3.6822338975965976,0.0509280797457429,3.685600519180298,3.536689043045044,3.8067574501037598,43.07607809305191,2.123529663163602,43.20464515686035,37.07201385498047,48.321380615234375
97,2059,4,446.2911229133606,10240,489,1600,22.21616697833419,3.471276090364717,10.0,10.0,20.59,3.9117643078283746,20.5,12,30,-50.79777977764606,4.948665653079461,-50.611206233501434,-60.59856140613556,-37.36265289783478,20.59,3.9117643078283746,20.5,12,30,-45.762460889696314,3.8423656773821384,-45.863306286252794,-52.72270751921748,-34.74092265151219,0.0,0.0,0.0,False,False,0.005531540044831108,0.006026973138731068,0.004585415020996034,-0.005343643154234273,0.04431812460626375,62.1316523194313,9.951565661832523,61.589826583862305,38.29772186279297,98.76956176757812,1543.7364618301392,701.3873608195022,1464.33154296875,395.8420104980469,4192.0078125,3.6752013944089414,0.053902015931115155,3.676822304725647,3.5546040534973145,3.8613758087158203,42.88169265985489,2.2357032283556078,42.91914176940918,37.950660705566406,50.615726470947266
101,2041,5,538.2738950252533,12288,590,1920,22.26503890868504,3.478912329482037,10.0,10.0,20.41,3.701607758798871,20.0,12,32,-49.61485381968319,5.968320115857605,-50.064936876297,-63.42454147338867,-18.442370422184467,20.41,3.701607758798871,20.0,12,32,-44.79432987139535,5.04888507667635,-45.334401496218554,-56.8561617038779,-17.285999114709504,0.01,0.09949874371066199,0.0,False,True,0.005175509359164694,0.008531339597203405,0.003825645684804646,-0.01801176724818873,0.0638867306189789,65.20782958269119,11.433128417715954,64.11516571044922,39.94684600830078,100.14081573486328,1827.802960395813,818.3817067082742,1668.599853515625,550.7007446289062,5117.44091796875,3.7037327706813814,0.04809035359772037,3.7043657302856445,3.5759546756744385,3.8320510387420654,43.96721698045731,1.9870980175374096,43.99550247192383,38.65618133544922,49.24784469604492
99,1986,6,632.6887114048004,14336,689,2240,21.69151070280166,3.3892985473127597,10.0,10.0,19.86,3.6661151100313263,19.0,13,34,-49.603143156990406,5.380507928050941,-49.658408641815186,-61.11376750469208,-27.61107035726309,19.86,3.6661151100313263,19.0,13,34,-44.79072330067535,4.324006359112679,-44.88716327177487,-53.56497593407034,-25.642853271231132,0.0,0.0,0.0,False,False,0.005735319875895073,0.007085354078828901,0.00424991138952821,-0.016124756533666212,0.03841868693030531,60.896771657466886,13.132326264221804,59.83002853393555,33.14334487915039,108.46631622314453,2335.9204973220826,1090.2612048201318,2103.963623046875,516.1744384765625,7206.5107421875,3.7185908146202564,0.05005843570141559,3.7189559936523438,3.572143316268921,3.8828940391540527,44.728026723861696,2.0666635717162762,44.77779769897461,38.678470611572266,51.46460723876953
108,1957,7,728.2576234340668,16384,797,2560,21.429562778457022,3.34836918413391,10.0,10.0,19.57,3.669482252307538,19.0,12,34,-49.0972321665287,5.392438821682771,-48.72341865301132,-64.51942467689514,-35.85477364063263,19.57,3.669482252307538,19.0,12,34,-44.405389817373134,4.307620751409097,-44.33110954224834,-54.90875941178019,-33.01161277863562,0.0,0.0,0.0,False,False,0.0052653562909667625,0.006103031418903941,0.004015079491320336,-0.007772088467023652,0.04724345106308439,47.12322603464126,9.33150018747291,46.556772232055664,26.784643173217773,77.94097137451172,2390.0329769134523,1268.57250381141,2136.9168701171875,516.8680419921875,7748.8828125,3.6867154158651827,0.05336474160031161,3.6869198083877563,3.5242044925689697,3.872199535369873,43.345227897167206,2.175453612755465,43.355472564697266,36.78920364379883,50.90557098388672
103,1970,8,818.4472405910492,18432,900,2880,22.707713643304285,3.5480802567662946,10.0,10.0,19.7,3.7161808352124095,19.0,14,32,-48.78851021289825,4.569765254274434,-49.20438426733017,-62.01540541648865,-33.416063368320465,19.7,3.7161808352124095,19.0,14,32,-44.163601831460255,3.6169778235954517,-44.471716918771804,-54.231066628513375,-30.752054785397775,0.0,0.0,0.0,False,False,0.006380458797859998,0.0073386013261353055,0.004887718256242415,-0.006444553097792627,0.044299720473154613,47.00439739227295,9.158210603568758,46.719482421875,27.242021560668945,86.57344055175781,2194.3024751663206,1050.2452038511044,1976.6897583007812,518.1234741210938,6774.8837890625,3.6709582075476646,0.05283307511664411,3.6705679893493652,3.515408515930176,3.8191044330596924,42.66815205812454,2.1571319816660166,42.70814514160156,36.367835998535156,48.72667694091797
100,2035,9,903.3699927330017,20480,1000,3200,24.116034258718656,3.76813035292479,10.0,10.0,20.35,3.955692101263697,20.0,12,32,-48.84516221316531,6.070353155520371,-49.21501648426056,-62.855191349983215,-20.700234971940517,20.35,3.955692101263697,20.0,12,32,-44.1070238360099,5.111432241950607,-44.80285804945382,-54.430011412633576,-19.617579052683418,0.01,0.09949874371066199,0.0,False,True,0.003879858577256397,0.006189756757528875,0.0034105638295814367,-0.018321004892300652,0.02274955564348699,42.40632321834564,8.35761710488571,42.005157470703125,22.010854721069336,66.77021789550781,2339.193800735474,1244.3179548406881,1961.0101928710938,573.5519409179688,6928.6484375,3.709999620169401,0.054521908609697266,3.709952235221863,3.5436549186706543,3.8581490516662598,44.26048505306244,2.213618312137754,44.29402542114258,37.46754837036133,50.3664436340332
