Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
128,776,0,248.80449056625366,2048,128,320,nan,nan,10.0,10.0,7.76,3.9827628601261207,8.0,2,18,-16.961496284753085,15.093761049412276,-16.543600916862488,-41.52643871307373,2.9154163599014282,7.76,3.9827628601261207,8.0,2,18,-16.236265582244513,14.237249495576744,-16.244455633721877,-38.35322629255614,2.869745268821716,0.69,0.46249324319388707,1.0,False,True,-0.015481881998184045,0.00701931728655855,-0.018435339913022465,-0.02034581255356771,0.0018934330873632,55.98579068183899,9.69468675108416,55.47554969787598,34.149295806884766,104.94808959960938,3666.9437297821046,2250.075636114322,3122.100830078125,723.1917724609375,16449.25390625,1.1174492040649056,0.17389419304027118,1.166941225528717,0.6511866450309753,1.4490169286727905,3.5576561614871025,0.5604162285491757,3.6650742292404175,2.1516573429107666,4.987712860107422
348,925,1,471.2396502494812,4096,476,640,9.20717751148955,1.4386214861702424,10.0,10.0,9.25,4.821566135603659,10.0,3,19,-19.19485854834318,16.026873173976448,-19.992897361516953,-51.068843483924866,0.8202029466629028,9.25,4.821566135603659,10.0,3,19,-18.225543610303877,14.97552469072144,-19.519245688731964,-47.02077589399458,0.7466517379283903,0.66,0.4737087712930805,1.0,False,True,-0.0153365497325011,0.007633266844043983,-0.018387619249381836,-0.020407030132136156,0.014503654204253758,55.18964259624481,7.986785121585171,54.75838279724121,33.37947082519531,81.9498291015625,3764.714126968384,2337.018729448301,3028.884033203125,657.5230712890625,12354.025390625,1.375466875731945,0.09450860502981417,1.395240306854248,1.098623275756836,1.5873336791992188,4.449098587781191,0.3998413889093884,4.479551553726196,3.36136531829834,5.560766220092773
199,1007,2,680.9877405166626,6144,675,960,9.764093667747897,1.5256396355856088,10.0,10.0,10.07,4.804695619911837,11.0,2,23,-22.548927333056927,16.3727998046509,-23.304633542895317,-59.43701946735382,2.948229670524597,10.07,4.804695619911837,11.0,2,23,-21.34039538269548,15.216521172988477,-22.55509553672304,-53.02857751964769,2.903159861564636,0.55,0.49749371855331,1.0,False,True,-0.013228874831751248,0.00960576008413122,-0.018363748557308296,-0.020426341244517338,0.017145994265752834,60.01285067796707,9.225912457348533,59.295942306518555,38.51506423950195,88.58686065673828,3982.537333869934,2539.8243083175125,3234.0001220703125,902.9708862304688,13617.5048828125,1.4582124646753072,0.06808154284416894,1.4536698460578918,1.2512270212173462,1.661624789237976,4.788778962939977,0.3600138569746629,4.751974105834961,3.788599967956543,5.85848331451416
219,897,3,890.6724133491516,8192,894,1280,9.767046738967363,1.5261010529636503,10.0,10.0,8.97,4.559506552248829,10.0,2,19,-17.375736743323504,15.40024931771696,-16.81144744157791,-46.030723214149475,3.2257087230682373,8.97,4.559506552248829,10.0,2,19,-16.59153759167824,14.45058354943161,-16.445145445148448,-42.29307837217826,3.1800308179855348,0.74,0.4386342439892262,1.0,False,True,-0.015107481296171,0.007431403277784806,-0.018376116177065943,-0.020361768086507248,0.008436980572190639,46.80392658114433,7.997277529062203,46.69244194030762,27.835939407348633,70.42158508300781,3428.5149162292482,2046.73178466413,2854.5184326171875,780.2056884765625,11307.2509765625,1.4475146554410458,0.06068588745963736,1.4462746381759644,1.294106125831604,1.6327927112579346,4.715554813295602,0.3283711393502705,4.693312168121338,3.9202380180358887,5.844009876251221
128,957,4,1088.3802943229675,10240,1022,1600,10.358717062327088,1.6185495409886075,10.0,10.0,9.57,4.214866545930013,10.0,2,20,-20.15688315745443,14.477922092029624,-19.27881171926856,-46.41456842422485,2.9160572290420532,9.57,4.214866545930013,10.0,2,20,-19.214666017312467,13.51824098479409,-18.79484609748905,-42.92110771001905,2.8705476379394534,0.66,0.4737087712930805,1.0,False,True,-0.01495879762521229,0.007592985969596762,-0.01831910240514672,-0.02035883867619434,0.004546424396085769,52.88612036705017,9.11380904026043,52.30248832702637,27.87776756286621,80.33649444580078,3321.2007587432863,1795.3231324062904,2807.447998046875,719.1910400390625,10517.060546875,1.435704407840967,0.05827980193186822,1.4327688217163086,1.300528883934021,1.615147352218628,4.628734837472439,0.3002091590171883,4.609062671661377,4.023106098175049,5.667428970336914
288,1041,5,1293.2766408920288,12288,1310,1920,9.995297789800816,1.5617652796563772,10.0,10.0,10.41,4.552131368930383,12.0,2,21,-23.43695857077837,16.113579489178207,-26.297387087717652,-55.791075110435486,3.1866393089294434,10.41,4.552131368930383,12.0,2,21,-22.173228412287536,14.978807062667792,-24.931413415573296,-50.64588443658012,3.1398478031158445,0.54,0.49839743177508444,1.0,False,True,-0.012764261705910409,0.008860191618061859,-0.018277495181341363,-0.02035378267536453,0.007066940752880807,52.84598180651665,8.935875020832679,52.51547622680664,28.759305953979492,78.27153778076172,3652.415251159668,2095.3461875566422,3153.134033203125,671.1856689453125,12820.640625,1.4637247841805219,0.059556769472461905,1.460480272769928,1.258702039718628,1.6247618198394775,4.746518614143133,0.3007552756238985,4.726889133453369,3.815742254257202,5.542111873626709
219,867,6,1512.5445365905762,14336,1529,2240,9.34017263893306,1.4594019748332905,10.0,10.0,8.67,4.474494384843946,8.5,2,18,-17.200367823578418,15.687938745248468,-16.7065691947937,-45.49218451976776,2.9528976678848267,8.67,4.474494384843946,8.5,2,18,-16.39196662492872,14.66829981782465,-16.374477403650687,-42.326014518658155,2.9072626399993897,0.7,0.45825756949558394,1.0,False,True,-0.015851094038128916,0.006680249958914579,-0.018428481452665388,-0.020407483203871646,0.003450872691682566,54.408414769172666,8.450779739852418,53.83091926574707,31.606529235839844,80.10599517822266,3484.182879829407,1814.323731069674,3069.6534423828125,866.1221923828125,9855.5361328125,1.4287552829831838,0.05645914056206047,1.4302057027816772,1.2297534942626953,1.587109088897705,4.563262392580509,0.2929442228379329,4.536990642547607,3.6507749557495117,5.453005790710449
219,894,7,1724.1882555484772,16384,1748,2560,9.676639637991698,1.5119749434362029,10.0,10.0,8.94,4.170899183629353,9.0,2,19,-18.65112771753222,15.72559222222685,-17.440661802887917,-45.37039065361023,2.951769709587097,8.94,4.170899183629353,9.0,2,19,-17.77045989917329,14.718320239416068,-16.978603886514485,-42.15310243610353,2.9058374786376957,0.66,0.4737087712930805,1.0,False,True,-0.014053814011982847,0.008317604803996908,-0.01833271744283907,-0.0203726524697265,0.003504886812918079,57.132249200344084,11.547274134220375,55.104631423950195,34.753292083740234,99.76360321044922,3608.987638092041,2076.351792721001,3046.6961669921875,675.38623046875,11627.7099609375,1.3954765170812606,0.05827492004822838,1.3961395025253296,1.2440921068191528,1.599553108215332,4.410603289306164,0.2904816806718083,4.39027738571167,3.7097012996673584,5.48057746887207
225,889,8,1939.8363647460938,18432,1973,2880,9.496953196669324,1.4838989369795816,10.0,10.0,8.89,3.974657217924585,10.0,2,17,-19.384053858555852,15.739785061809998,-18.650330651551485,-43.01320016384125,2.853467583656311,8.89,3.974657217924585,10.0,2,17,-18.497722090300577,14.79249028160456,-18.16973573368272,-40.30094590068548,2.808617086410522,0.64,0.48,1.0,False,True,-0.014456250757863888,0.007618069655927338,-0.018325980799496842,-0.020344484304995886,0.0032278465950744684,54.211286747455596,8.482021437120101,54.122182846069336,32.86698532104492,79.21441650390625,4224.562096595764,2528.7234604851196,3360.920654296875,821.431640625,14135.4736328125,1.3977867804467679,0.05588920336600971,1.4008907079696655,1.2607312202453613,1.5489774942398071,4.414106123149395,0.27961407531950827,4.422387361526489,3.7607107162475586,5.32985258102417
226,880,9,2167.5454206466675,20480,2199,3200,8.993933033977504,1.405302036558985,10.0,10.0,8.8,4.296510211788167,9.0,2,17,-18.589398350939156,15.703378702608283,-17.93049878627062,-45.0714476108551,2.8439635038375854,8.8,4.296510211788167,9.0,2,17,-17.72871107139922,14.723962118147998,-17.5104456376149,-41.25481134292573,2.7989299535751346,0.67,0.47021271782034985,1.0,False,True,-0.015517197151271978,0.00676370945720943,-0.018397113864760707,-0.020411234057023303,0.0015735006925983175,51.73221991658211,8.593914749349672,51.505836486816406,28.257389068603516,76.08023834228516,4802.768548774719,3001.11213763906,4030.3194580078125,703.96533203125,16706.43359375,1.356265104934573,0.06098191755805128,1.3520300388336182,1.1902623176574707,1.5471245050430298,4.2367470897734165,0.29409895772193606,4.19961404800415,3.514272689819336,5.34026575088501
