Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
130,1570,0,167.3306849002838,2048,130,320,nan,nan,10.0,10.0,15.7,3.570714214271425,16.0,4,25,-29.521750399470328,10.17737769039855,-31.877646267414093,-50.95319867134094,1.8493176847696304,15.7,3.570714214271425,16.0,4,25,-27.280119555289033,9.128366261669697,-29.611837392948395,-45.26814937570615,1.6572632466304853,0.11,0.31288975694324034,0.0,False,True,0.0005363360280530192,0.007490551199964066,0.002556411516323298,-0.019952870012084498,0.012541470067087418,80.51449596881866,30.88101927554617,69.23704147338867,45.3664436340332,228.44601440429688,1742.533386325836,1423.710931372973,1100.4354858398438,241.8755340576172,5859.23876953125,4.086426389962435,0.054625321246848074,4.090187311172485,3.8421740531921387,4.208043575286865,62.44209327697754,2.63167420620351,62.560245513916016,50.83629608154297,68.83662414550781
124,1656,1,328.5327672958374,4096,254,640,12.704550521715156,1.9850860190179933,10.0,10.0,16.56,3.899538434225261,17.0,2,25,-31.06462354660034,9.171517896166684,-31.431770980358124,-48.26978302001953,3.436015248298645,16.56,3.899538434225261,17.0,2,25,-28.582721901635892,8.146406342435403,-29.01813621625167,-43.396704775141224,3.3868689489364625,0.06,0.23748684174075835,0.0,False,True,0.0021110273063251516,0.007534108207282837,0.0027502325987498466,-0.018727376488865383,0.027970830135490038,54.15264139175415,7.303049406814722,53.77145195007324,34.71367263793945,80.1344223022461,639.5233867168427,416.30557278531074,496.7168731689453,166.39915466308594,2711.338134765625,4.000066642463207,0.049683982928495525,4.00004518032074,3.863158702850342,4.133416652679443,58.21117925643921,2.401676221314652,58.24896812438965,51.713951110839844,64.92938232421875
131,1553,2,504.51004815101624,6144,385,960,11.637865922507402,1.8184165503917815,10.0,10.0,15.53,3.3539677994876462,15.0,3,30,-28.735857635065912,8.173480193598994,-30.07143121957779,-40.59017479419708,2.3127713203430176,15.53,3.3539677994876462,15.0,3,30,-26.64889954212343,7.371603926935258,-28.003609362029273,-36.801955001502726,2.2257019320011135,0.08,0.2712931993250107,0.0,False,True,0.0007133461776667677,0.007792940807797846,0.0020710919158894586,-0.019474150276914487,0.027647251389049277,44.3221911072731,5.968222681183289,44.51818084716797,24.412458419799805,61.28512954711914,537.5341412544251,316.723294071799,434.10997009277344,142.88580322265625,1765.980712890625,4.005685643106699,0.05026092431240657,4.007615566253662,3.8909401893615723,4.136312007904053,58.88634358644485,2.3791328150912014,58.90931510925293,53.23020935058594,64.88005065917969
129,1588,3,656.7482769489288,8192,514,1280,13.452600021500519,2.101968753359456,10.0,10.0,15.88,3.581284685695903,16.0,2,25,-28.478057775683702,9.676122520807668,-30.881192207336426,-41.83326697349548,4.255989372730255,15.88,3.581284685695903,16.0,2,25,-26.338807734222446,8.768433814455133,-28.59238528295741,-38.17990861440009,4.20793476819992,0.09,0.28618176042508375,0.0,False,True,0.0008689123338095558,0.009517954328596822,0.0025312546818404558,-0.019712123527564684,0.03634671881312165,46.08294369578361,6.345570122722008,46.16808891296387,29.107866287231445,64.62672424316406,573.9510262489318,332.0453921056948,478.8106384277344,159.00967407226562,1575.6748046875,3.9971591986715795,0.05007113797054161,3.9967645406723022,3.860690116882324,4.131166934967041,58.26047024726868,2.343665566907462,58.223758697509766,51.87451934814453,64.52171325683594
131,1561,4,832.2387204170227,10240,645,1600,11.670151146277941,1.8234611166059285,10.0,10.0,15.61,3.03609947136124,16.0,2,24,-27.671405752822757,8.779876648295053,-29.87582755088806,-42.9170116186142,4.112086534500122,15.61,3.03609947136124,16.0,2,24,-25.686287931049705,7.9047899964163415,-27.768344191916945,-38.66336840963875,4.0624810361862185,0.1,0.30000000000000004,0.0,False,True,0.00010552784663578534,0.008174713284754739,0.001965848147901489,-0.018805904893533565,0.03498953446224726,47.831556886434555,6.180745880768364,47.65420722961426,28.365825653076172,65.81156158447266,569.2069832324981,336.16395115831654,478.828857421875,164.74716186523438,2035.8792724609375,3.991741522401571,0.049049729643263956,3.99509596824646,3.854620933532715,4.116361618041992,58.057935655117035,2.220897136843074,58.25482368469238,51.516273498535156,63.55574035644531
135,1502,5,987.1951525211334,12288,780,1920,13.216618195132478,2.0650965929894496,10.0,10.0,15.02,4.228427603731675,15.0,2,29,-27.68768313586712,10.16621797025555,-30.017745971679688,-42.76456832885742,3.4826347827911377,15.02,4.228427603731675,15.0,2,29,-25.640260679113304,9.266392481329978,-27.693633867806366,-38.55826802624599,3.4334175157547,0.11,0.31288975694324034,0.0,False,True,0.0022103226633814737,0.011823097843708335,0.0024648434583116607,-0.01900097658942501,0.06759055698974187,47.06885554790497,6.175877841769041,46.71480941772461,30.33010482788086,64.48040008544922,579.4928799629212,373.9160823680473,452.7794494628906,140.5447540283203,2411.16796875,3.9775362625718116,0.04895505553664588,3.9774019718170166,3.810788869857788,4.114011764526367,57.52813038825989,2.2214790346999784,57.57353401184082,49.79099655151367,63.53507995605469
141,1416,6,1167.5025289058685,14336,921,2240,11.358381676133048,1.7747471368957888,10.0,10.0,14.16,4.02422663377698,15.0,2,23,-25.750128347408026,10.775051310070358,-27.955743610858917,-42.49260699748993,3.4740312099456787,14.16,4.02422663377698,15.0,2,23,-23.95406783140465,9.867027700369823,-26.220058418022354,-38.484083860905116,3.4247695732116696,0.15,0.3570714214271425,0.0,False,True,-0.00013252653216566087,0.010474752608919904,0.0016325115391496448,-0.01876016426881169,0.06043396897162909,43.4081978559494,5.96228293649907,43.292593002319336,29.02078628540039,65.63931274414062,568.4666758060455,336.17679573775393,463.00926208496094,153.7726593017578,1669.1728515625,3.9887074902653694,0.044570665971161764,3.990226626396179,3.858423948287964,4.117898941040039,57.573302233219145,2.0385396015082313,57.61639213562012,52.01696014404297,63.36365509033203
137,1498,7,1342.9527485370636,16384,1058,2560,11.672826653081405,1.8238791645439694,10.0,10.0,14.98,3.674180180666158,15.0,2,24,-26.994481782615185,9.571941516241655,-28.328716814517975,-45.68093299865723,3.33978533744812,14.98,3.674180180666158,15.0,2,24,-25.045668631162325,8.66276433007655,-26.40589098107604,-40.91297274471201,3.2912474679946895,0.11,0.31288975694324034,0.0,False,True,-0.00012483581620894107,0.008895164830509937,0.0015724020565742736,-0.01990455200861474,0.04245843005903416,42.49615412950516,6.034846725312871,41.90235900878906,25.638256072998047,59.813331604003906,524.9110699653626,305.7119585397685,464.22572326660156,143.94430541992188,2368.04931640625,3.9821833848953245,0.04769094237182956,3.981729507446289,3.845938205718994,4.093307018280029,57.12012279033661,2.1511750104427043,57.04818534851074,51.377567291259766,62.267845153808594
139,1457,8,1519.4538679122925,18432,1197,2880,11.603325844331316,1.813019663176768,10.0,10.0,14.57,4.0453800810307055,15.0,2,27,-25.30059260873124,10.18836563318613,-27.88478708267212,-45.11465764045715,3.306094527244568,14.57,4.0453800810307055,15.0,2,27,-23.550419880502176,9.279195351024333,-26.133025496230758,-40.5413534335808,3.2568551874160763,0.15,0.3570714214271425,0.0,False,True,-0.0008680104720147612,0.01113642493921034,0.0010336380946928958,-0.0198272982926605,0.06779445134414494,44.80434470772743,6.476064994499851,44.36585235595703,31.614503860473633,71.02637481689453,581.6132773399353,321.45760214758286,527.8684387207031,149.9999542236328,1579.523193359375,4.002465512603521,0.04291429491599123,4.004887104034424,3.8866915702819824,4.10830020904541,57.61259349584579,1.9369144344155953,57.62020301818848,52.40810775756836,62.4493293762207
136,1490,9,1692.0027070045471,20480,1333,3200,11.869103326189405,1.8545473947170945,10.0,10.0,14.9,3.6837480912787726,15.0,2,23,-25.118209621980785,9.781547844041187,-27.249678373336792,-45.1032110452652,3.385122060775757,14.9,3.6837480912787726,15.0,2,23,-23.375541669232057,8.908280476182732,-25.247679824631184,-40.71359912870405,3.3366121006011964,0.16,0.36660605559646725,0.0,False,True,-0.001317182045214575,0.009054676325631958,0.00117354118558112,-0.02017145324833515,0.0297226886897817,43.40325835943222,6.354390709540521,43.15385627746582,27.985719680786133,61.69733428955078,551.9185910701751,327.97024287650515,463.3680114746094,167.73179626464844,1730.827880859375,4.005985920131207,0.04356359307275778,4.005425214767456,3.8808481693267822,4.130613803863525,57.69041423797607,1.9793930097155061,57.694759368896484,51.965606689453125,63.31477737426758
