Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
110,1805,0,133.16617441177368,2048,110,320,nan,nan,10.0,10.0,18.05,5.550450432172149,18.0,2,44,-30.43197212792933,13.104794993126223,-35.15253418684006,-50.53837513923645,2.977609872817993,18.05,5.550450432172149,18.0,2,44,-27.825675181974283,11.68090564370128,-32.12866861014153,-44.36349026860484,2.9322816753387455,0.19,0.39230090491866065,0.0,False,True,-0.0013424231152181307,0.011806707070355475,0.0011537189944741122,-0.019865283734328748,0.07149866599071306,94.6254399895668,32.54555345397395,81.96578979492188,57.084434509277344,225.2113494873047,1914.8642719745635,1477.1363003645217,1293.7487182617188,190.9344940185547,5611.095703125,4.042363777756691,0.07192489188624107,4.054174184799194,3.8352231979370117,4.194502353668213,59.718469333648684,4.021430133084202,60.45151901245117,47.73103332519531,68.0813980102539
120,1688,1,284.17957067489624,4096,230,640,13.561710753340108,2.119017305209392,10.0,10.0,16.88,5.767633830263499,17.0,2,39,-28.400182329174132,13.391394949859102,-32.46504455804825,-48.82013964653015,3.0775914192199707,16.88,5.767633830263499,17.0,2,39,-26.080924409067837,12.052466387661942,-30.026179699664894,-43.72552078378262,3.032479095458984,0.23,0.4208325082500163,0.0,False,True,-0.003209677513704534,0.009072119757960283,0.0008835039738050304,-0.01977729844344614,0.016461137100635875,64.04511418342591,8.322322062063634,63.78267478942871,40.514347076416016,87.40525817871094,628.1079288005828,349.22977728263845,522.2366638183594,209.15536499023438,1919.3480224609375,3.934077239781618,0.044246558361968794,3.9345372915267944,3.7973928451538086,4.041663646697998,53.2372891664505,2.151007244166102,53.34847068786621,46.49481201171875,58.687835693359375
130,1562,2,441.7710998058319,6144,360,960,12.995622361773071,2.0305659940270426,10.0,10.0,15.62,5.2072641569254,16.5,2,27,-26.064034735783935,13.441108207390217,-30.547327935695648,-47.71171712875366,3.2292234897613525,15.62,5.2072641569254,16.5,2,27,-24.01694297450071,12.101589076090656,-28.31613850737511,-42.119711414934436,3.1826646375656127,0.25,0.4330127018922193,0.0,False,True,-0.002853444543419025,0.010921497531242996,0.0007305137856947613,-0.018889201997165955,0.04325016280224839,60.506080102920535,8.55671796510151,60.554473876953125,40.76102828979492,92.74706268310547,681.6345252037048,363.7985644883566,623.7567138671875,202.38760375976562,1943.1539306640625,3.9306418761610984,0.0386016601215046,3.930673122406006,3.836857795715332,4.058812141418457,52.89892268180847,1.8183076697634704,52.85480308532715,48.67221450805664,59.13362503051758
128,1584,3,584.760178565979,8192,488,1280,14.322772184827896,2.2379331538793585,10.0,10.0,15.84,4.884096641140509,16.5,2,27,-25.425001438073814,13.205208628159253,-29.347271502017975,-45.41450583934784,3.0616122484207153,15.84,4.884096641140509,16.5,2,27,-23.470004601084025,11.886258369323688,-27.10242723410638,-40.857080729237836,3.0162859678268434,0.27,0.44395945760846234,0.0,False,True,-0.004077018406310942,0.009522298125118112,0.000757228850306324,-0.01967496273384814,0.013318293868086722,57.42497465610504,7.684982157815144,56.858558654785156,34.436134338378906,88.30525207519531,695.403812122345,405.2765351710405,569.1613159179688,205.37120056152344,2165.578857421875,3.9584131583571436,0.03341582258656097,3.9569435119628906,3.8650357723236084,4.041499137878418,54.07609888315201,1.562862760922404,54.06674575805664,49.76041793823242,58.120704650878906
124,1624,4,729.7178452014923,10240,612,1600,14.12826273721392,2.207541052689675,10.0,10.0,16.24,5.560791310596002,17.0,2,36,-23.342277349289507,13.324894599850216,-28.1689293384552,-47.11500692367554,3.1532044410705566,16.24,5.560791310596002,17.0,2,36,-21.63443323095807,11.948528725239559,-26.122125494252842,-41.42646140415339,3.107156338691712,0.36,0.48,0.0,False,True,-0.006227301516115446,0.010238516047488617,-0.00038532402272196953,-0.01948960490568752,0.018785768579748285,60.9787494301796,8.757521709032318,60.187538146972656,38.878570556640625,89.22903442382812,701.9276384830475,395.53043648211593,620.0439147949219,200.8619842529297,2323.7998046875,3.9448431871831415,0.03441820065866505,3.9446158409118652,3.8468637466430664,4.037049770355225,53.34007147550583,1.6309534976525515,53.275691986083984,48.92365646362305,58.14495086669922
139,1487,5,894.2318136692047,12288,751,1920,12.448790939001277,1.9451235842189496,10.0,10.0,14.87,5.375230227627464,16.0,2,26,-23.000411998927593,14.578731734933216,-28.71233978867531,-46.232924938201904,3.242699146270752,14.87,5.375230227627464,16.0,2,26,-21.318963456107408,13.183259696743793,-26.548097154218667,-41.514994720087195,3.1956071138381956,0.38,0.485386443980464,0.0,False,True,-0.006375906314469868,0.009856730346785221,6.15070853199895e-05,-0.020256582733327366,0.004859857516756022,63.532075595855716,8.14177823273537,62.6710205078125,40.8773193359375,99.65940856933594,636.4746563434601,365.4691364900703,534.2221069335938,190.53097534179688,2501.512939453125,3.89605873003602,0.029922504306259784,3.8951690196990967,3.8089728355407715,3.9679958820343018,50.37609746456146,1.340032926661334,50.31162643432617,46.498172760009766,53.425655364990234
145,1375,6,1044.824107170105,14336,896,2240,13.599633503076682,2.1249427348557313,10.0,10.0,13.75,5.865790654293758,16.0,2,28,-20.60082648806274,15.030983948104241,-26.05531707406044,-41.97663676738739,3.207688331604004,13.75,5.865790654293758,16.0,2,28,-19.10793738579642,13.691785842376275,-24.52818860950196,-38.12059547853355,3.161157445907593,0.4,0.4898979485566356,0.0,False,True,-0.0063075431374018075,0.013086845056394864,-0.0012181877188743029,-0.020241209219750228,0.07557867113574385,60.91049408912659,7.77128792647035,60.56602096557617,41.24569320678711,92.51634979248047,642.4694769859314,367.3989992303614,542.1465454101562,191.32496643066406,2207.0087890625,3.840056423842907,0.033397816570603235,3.838012218475342,3.7546982765197754,3.956364154815674,47.80596085786819,1.4535192168468298,47.71044731140137,44.21278762817383,53.21772003173828
160,1309,7,1208.3909034729004,16384,1056,2560,12.520878603067676,1.9563872817293242,10.0,10.0,13.09,5.569730693669129,15.0,2,24,-18.26794657956809,13.393476218944008,-23.50624790787697,-42.34370720386505,3.029016375541687,13.09,5.569730693669129,15.0,2,24,-17.084737896456353,12.277553053752303,-22.030969478121968,-38.184681819685814,2.9825315427780152,0.44,0.49638694583963433,0.0,False,True,-0.008436720520351515,0.00982031156852383,-0.011757178215980796,-0.01905909484163819,0.015285571659569092,50.815271091461184,7.468998916184173,50.77810478210449,32.53109359741211,75.49468231201172,706.935621213913,425.73964369763087,558.6523742675781,188.49635314941406,2480.279052734375,3.8009937219321728,0.02739614232821723,3.8029059171676636,3.7256827354431152,3.86909556388855,45.6847739815712,1.171443668607786,45.69425964355469,42.32118606567383,48.577728271484375
159,1263,8,1377.9836020469666,18432,1215,2880,12.075991579941618,1.886873684365878,10.0,10.0,12.63,5.434436493326608,15.0,2,23,-19.221243539564313,14.522454575845257,-26.19649475812912,-40.079773902893066,2.950386881828308,12.63,5.434436493326608,15.0,2,23,-17.881337259793316,13.309573859829909,-24.60643915029806,-36.331230922817866,2.9044009017944337,0.4,0.48989794855663565,0.0,False,True,-0.007089684243173395,0.010265152086674476,-0.0010925421909827593,-0.020013556631971158,0.02648362278043906,54.46099495887756,6.96005220006053,54.157766342163086,36.71903991699219,79.89600372314453,654.4329132556916,357.9960457599119,566.3779296875,188.69256591796875,1869.2406005859375,3.7801594011485578,0.030196976745963985,3.779626727104187,3.68873929977417,3.890934944152832,44.632595896720886,1.2892320082331097,44.58527374267578,40.83943557739258,49.72190856933594
158,1301,9,1548.4621913433075,20480,1373,3200,12.013238779445702,1.877068559288391,10.0,10.0,13.01,5.200951835962337,14.0,3,21,-18.221963989660143,14.365122215755264,-23.154786974191666,-42.232197642326355,2.723698355257511,13.01,5.200951835962337,14.0,3,21,-17.00123404441748,13.07657273608488,-21.69865456100827,-38.3021331392056,2.584113638554006,0.47,0.49909918853871116,0.0,False,True,-0.008485992249772218,0.00991465592057846,-0.009336475943755654,-0.019472070518805562,0.017774454651858174,57.33501183986664,7.1157055642841165,56.95639991760254,39.81135940551758,79.95179748535156,667.7946393966674,377.2168864947913,572.2596740722656,185.5631103515625,2268.204345703125,3.7205947235226633,0.025832019748659042,3.7203067541122437,3.6471681594848633,3.800476551055908,41.80124717950821,1.085839625566316,41.794193267822266,38.79814910888672,45.211326599121094
