Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,TimeAverage,TimeStd,TimeMedian,TimeMin,TimeMax,InitPosAverage,InitPosStd,InitPosMedian,InitPosMin,InitPosMax,InitQuatAverage,InitQuatStd,InitQuatMedian,InitQuatMin,InitQuatMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
11,121,0,311.3048474788666,128,11,80,nan,nan,10.0,10.0,11.0,1.9069251784911847,11.0,8,15,-7.7958181933923205,4.896832252786645,-9.522025346755981,-16.028408765792847,-1.143043875694275,11.0,1.9069251784911847,11.0,8,15,-7.473105738284809,4.525101707705514,-9.07561175926945,-15.104540973322429,-1.2939296277304422,0.36363636363636365,0.4810456929208347,0.0,False,True,-0.0072196592816177125,0.009797839251060547,-0.0025180532298304525,-0.01985200428076557,0.0047484936715444515,19.8721772107211,2.3874205936627266,20.880699157714844,14.95192289352417,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.314091282710433,6.244254673268626,4.626955270767212,-1.6311194896697998,35.69523620605469,688.3402318954468,470.3353620324626,527.5035095214844,227.4840545654297,3285.959716796875,0.6609643630683422,0.15865215854690493,0.653298407793045,0.28870660066604614,1.1931593418121338,2.6088804200291635,0.5578891533505449,2.5422258377075195,1.5050275325775146,4.400146007537842
15,255,1,677.965874671936,256,26,160,0.3490962783252123,0.21818517395325768,10.0,10.0,9.807692307692308,2.787599336198012,11.0,3,15,-6.171924116519781,5.466505984498769,-9.016307279467583,-16.028408765792847,2.8947483897209167,9.807692307692308,2.787599336198012,11.0,3,15,-5.9275431511460415,5.110926078490077,-8.567090377333528,-15.104540973322429,2.8131583868026735,0.46153846153846156,0.4985185152621431,0.0,False,True,-0.008954402808238405,0.010219351924767733,-0.004966679707867086,-0.019931906635818203,0.0047484936715444515,17.992341665121224,4.297420991012218,20.213003277778625,6.0546886920928955,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.179418160393834,2.735713788655303,4.47763991355896,-0.41037479043006897,12.097182273864746,645.1742259979249,289.07607557823235,557.0599670410156,277.9649353027344,1973.4598388671875,0.7720332331955433,0.18689267057020842,0.7225496470928192,0.4372415542602539,1.5014724731445312,3.004515451192856,0.7245720259954068,2.851785898208618,1.765615463256836,5.574173927307129
9,369,2,943.7452535629272,384,35,240,0.4816024498744084,0.30100153117150524,10.0,10.0,10.542857142857143,3.129060627115311,11.0,3,21,-7.497984459570476,5.441002642912586,-9.266114979982376,-17.47111487388611,2.8947483897209167,10.542857142857143,3.129060627115311,11.0,3,21,-7.148081613205551,5.057918836031245,-8.801312092656527,-16.390517519674255,2.8131583868026735,0.34285714285714286,0.4746642207381757,0.0,False,True,-0.006483934562678523,0.009896821111781437,-0.00013946543328860472,-0.019931906635818203,0.0047484936715444515,18.825192042759486,3.9828858512653045,20.46350073814392,6.0546886920928955,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.46495078802109,11.821515715454805,16.12376117706299,5.786732196807861,52.382991790771484,1320.2876316070556,865.7772072654224,1031.254638671875,269.06982421875,3889.661865234375,0.7398362498730421,0.22452052993707342,0.736273318529129,0.2700633406639099,1.4075675010681152,2.9615483775734903,0.8477969267752272,2.9622358083724976,1.3982900381088257,5.595783710479736
0,369,3,950.6897521018982,512,35,320,18.43185642299341,11.51991026437088,10.0,10.0,10.542857142857143,3.129060627115311,11.0,3,21,-7.497984459570476,5.441002642912586,-9.266114979982376,-17.47111487388611,2.8947483897209167,10.542857142857143,3.129060627115311,11.0,3,21,-7.148081613205551,5.057918836031245,-8.801312092656527,-16.390517519674255,2.8131583868026735,0.34285714285714286,0.4746642207381757,0.0,False,True,-0.006483934562678523,0.009896821111781437,-0.00013946543328860472,-0.019931906635818203,0.0047484936715444515,18.825192042759486,3.9828858512653045,20.46350073814392,6.0546886920928955,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.8625164985657,254.43475331323376,216.53546905517578,93.43580627441406,1278.4443359375,9653.817713928223,8507.183384792124,5249.21630859375,915.9395751953125,31957.1796875,0.34442499224096534,0.2676121993562434,0.1635397970676422,0.08929907530546188,0.9550304412841797,1.4733846336603165,0.4328643204385434,1.1802002787590027,1.0944167375564575,2.6321494579315186
0,369,4,956.2352509498596,640,35,400,23.081782813290804,14.426114258306754,10.0,10.0,10.542857142857143,3.129060627115311,11.0,3,21,-7.497984459570476,5.441002642912586,-9.266114979982376,-17.47111487388611,2.8947483897209167,10.542857142857143,3.129060627115311,11.0,3,21,-7.148081613205551,5.057918836031245,-8.801312092656527,-16.390517519674255,2.8131583868026735,0.34285714285714286,0.4746642207381757,0.0,False,True,-0.006483934562678523,0.009896821111781437,-0.00013946543328860472,-0.019931906635818203,0.0047484936715444515,18.825192042759486,3.9828858512653045,20.46350073814392,6.0546886920928955,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.41301746368408,81.49954306949996,88.13142013549805,48.54122543334961,404.9068298339844,6026.4388971328735,5787.035825995725,3753.2677001953125,152.86585998535156,21760.615234375,0.28862388161942365,0.22163674738919328,0.17008157819509506,0.07877804338932037,0.8859357237815857,1.3707461193203927,0.3461151766212855,1.1854015588760376,1.0819642543792725,2.4252541065216064
0,369,5,961.980637550354,768,35,480,22.278744478045347,13.924215298778341,10.0,10.0,10.542857142857143,3.129060627115311,11.0,3,21,-7.497984459570476,5.441002642912586,-9.266114979982376,-17.47111487388611,2.8947483897209167,10.542857142857143,3.129060627115311,11.0,3,21,-7.148081613205551,5.057918836031245,-8.801312092656527,-16.390517519674255,2.8131583868026735,0.34285714285714286,0.4746642207381757,0.0,False,True,-0.006483934562678523,0.009896821111781437,-0.00013946543328860472,-0.019931906635818203,0.0047484936715444515,18.825192042759486,3.9828858512653045,20.46350073814392,6.0546886920928955,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.222375106811526,23.22901149781467,33.762033462524414,23.30147933959961,118.25638580322266,3426.7365391731264,3373.117680267742,2340.094482421875,107.21955108642578,12255.763671875,0.240327868424356,0.15463768862028976,0.24416257441043854,0.02800394408404827,0.6368067860603333,1.287363338470459,0.2077851433357398,1.2765527963638306,1.0283997058868408,1.8904346227645874
0,369,6,967.7779524326324,896,35,560,22.079187106306332,13.799491941441458,10.0,10.0,10.542857142857143,3.129060627115311,11.0,3,21,-7.497984459570476,5.441002642912586,-9.266114979982376,-17.47111487388611,2.8947483897209167,10.542857142857143,3.129060627115311,11.0,3,21,-7.148081613205551,5.057918836031245,-8.801312092656527,-16.390517519674255,2.8131583868026735,0.34285714285714286,0.4746642207381757,0.0,False,True,-0.006483934562678523,0.009896821111781437,-0.00013946543328860472,-0.019931906635818203,0.0047484936715444515,18.825192042759486,3.9828858512653045,20.46350073814392,6.0546886920928955,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.991623687744141,6.6053128272055766,13.532658100128174,10.07614517211914,41.254234313964844,1822.6410664200782,1815.6090272889148,1203.6804809570312,11.76390552520752,7411.9287109375,0.3628981178626418,0.23772102661205843,0.32442033290863037,0.07610531896352768,0.9921559691429138,1.4808085918426515,0.3825550408739639,1.3832315802574158,1.0790762901306152,2.697042942047119
12,1025,7,1288.83145403862,1024,47,640,0.39868744417896995,0.2491796526118562,10.0,10.0,21.80851063829787,75.57007127328838,11.0,3,534,-21.0720660680152,88.85705573910523,-9.522025346755981,-622.7500262260437,2.8947483897209167,21.80851063829787,75.57007127328838,11.0,3,534,-9.92720463823775,16.352152581381944,-9.07561175926945,-116.14741503948619,2.8131583868026735,0.2978723404255319,0.4573230906426528,0.0,False,True,-0.005355271286113816,0.009998712659856501,0.00032856199432612643,-0.019931906635818203,0.009147723762222781,19.289483887083986,3.557289385690233,20.69817352294922,6.0546886920928955,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.3564006512985,328.56787411977126,161.6837615966797,-28.90599250793457,1148.2857666015625,14031.226268005372,11199.79294744036,10399.9697265625,1309.4993896484375,42371.33203125,0.7579011354595423,0.1824706151614768,0.7338582277297974,0.3253743648529053,1.1847608089447021,3.017300607264042,0.6891278956213331,2.9934409856796265,1.7593028545379639,4.717423915863037
13,1147,8,1627.06480884552,1152,60,720,0.37843695242024894,0.23652309526265558,10.0,10.0,19.116666666666667,67.09075735317217,11.0,3,534,-17.481706775228183,78.97218818508836,-9.282156929373741,-622.7500262260437,2.8947483897209167,19.116666666666667,67.09075735317217,11.0,3,534,-8.726349557187348,14.804112627881434,-8.818420026147923,-116.14741503948619,2.8131583868026735,0.36666666666666664,0.4818944098266986,0.0,False,True,-0.006773828605809392,0.010379296046537192,0.00011718652248488004,-0.020115545696850978,0.009147723762222781,18.85843023061752,3.797108893992943,20.285940051078796,6.041635513305664,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.318072314560413,4.496538537615597,4.2255237102508545,-0.5608234405517578,24.462844848632812,700.2668281555176,487.13784526085215,568.4377746582031,178.6235809326172,3355.516845703125,0.6467831484973431,0.16711874625046658,0.6361724734306335,0.2851465940475464,1.0632754564285278,2.6196099832654,0.6023373336785498,2.517996907234192,1.5656925439834595,4.2776641845703125
14,1273,9,1990.9511680603027,1280,74,800,0.3517581705349071,0.21984885658431694,10.0,10.0,17.2027027027027,60.54615834214996,11.0,3,534,-14.864341077369613,71.33535932749979,-8.971319064497948,-622.7500262260437,2.8947483897209167,17.2027027027027,60.54615834214996,11.0,3,534,-7.761082015587832,13.56520810236714,-8.541050418238482,-116.14741503948619,2.8131583868026735,0.43243243243243246,0.49541358864387464,0.0,False,True,-0.008137907512079707,0.010552985766782118,-0.0015770891827103506,-0.02016198198393805,0.009147723762222781,18.606565043732928,3.726212310483787,20.171177983283997,6.041635513305664,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2012267455458643,1.4672803601347686,3.0343456268310547,0.5951385498046875,6.61488676071167,480.26275367736815,174.1313710338031,450.4027099609375,204.95037841796875,984.5056762695312,0.6682055950164795,0.17368395082965557,0.6430075466632843,0.29935312271118164,1.073470115661621,2.61166954934597,0.5424598163747832,2.529957890510559,1.5135353803634644,4.101795673370361
13,1407,10,2331.6642384529114,1408,87,880,0.3756826817723891,0.2348016761077432,10.0,10.0,16.17241379310345,55.90410650443006,11.0,3,534,-13.84296828371355,65.85739879111469,-8.899825543165207,-622.7500262260437,3.1651363372802734,16.17241379310345,55.90410650443006,11.0,3,534,-7.742577690651453,12.614880187407639,-8.477009882809046,-116.14741503948619,3.0811520913362505,0.39080459770114945,0.48793069601818695,0.0,False,True,-0.007426999962261196,0.010277476215266647,-0.0005003083505707995,-0.02016198198393805,0.009147723762222781,18.656012137730915,3.8400972206488437,20.177897453308105,6.005686521530151,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.438353288173675,2.8409937083009815,6.760844707489014,3.3627965450286865,16.71162223815918,630.2285507202148,384.8162755806445,549.5487365722656,151.5494384765625,2421.593017578125,0.8381157368421555,0.1935066918294858,0.8187626302242279,0.4054478406906128,1.2691175937652588,3.137844540178776,0.7107301289742531,3.104995608329773,1.9036146402359009,5.122398376464844
14,1522,11,2680.6075155735016,1536,101,960,0.36682179710189655,0.22926362318868534,10.0,10.0,15.22,52.20949722033336,11.0,2,534,-12.580817894935608,61.535835144976964,-8.699440777301788,-622.7500262260437,3.6767218708992004,15.22,52.20949722033336,11.0,2,534,-7.260256924966083,11.931611431426676,-8.307590102755643,-116.14741503948619,3.6318008303642273,0.42,0.49355850717012273,0.0,False,True,-0.00803500256919067,0.010358977668505125,-0.0010099349139060798,-0.02016198198393805,0.009147723762222781,18.474076294898985,4.0605368827002115,20.178571224212646,4.001431703567505,22.007852792739868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3126192884519696,2.72849038814851,3.046842098236084,-1.3055055141448975,18.33338165283203,659.5458978652954,341.48873353371965,573.4341735839844,221.0261688232422,2198.614013671875,0.6885113637894392,0.1775823211314134,0.6771806180477142,0.30529576539993286,1.1193658113479614,2.5971272960305214,0.5711275979939506,2.5924400091171265,1.574237585067749,4.1867499351501465
