Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,TimeAverage,TimeStd,TimeMedian,TimeMin,TimeMax,InitPosAverage,InitPosStd,InitPosMedian,InitPosMin,InitPosMax,InitQuatAverage,InitQuatStd,InitQuatMedian,InitQuatMin,InitQuatMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
13,127,0,308.55759620666504,128,13,80,nan,nan,10.0,10.0,9.76923076923077,2.6934063692325534,11.0,3,12,-7.686337908873191,5.55371321300532,-8.452215075492859,-14.096642971038818,3.0309736132621765,9.76923076923077,2.6934063692325534,11.0,3,12,-7.303037221953773,5.240224663521374,-8.063589932522328,-13.258933899719487,2.948080449318886,0.23076923076923078,0.42132504423474315,0.0,False,True,-0.0044919300716903575,0.008687173341609167,-0.0002126484995737532,-0.020338352742690385,0.0026285147776080597,18.047553851054264,5.029216035347172,20.18543553352356,6.044637441635132,21.478902578353882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.428503002546496,9.19328962676063,5.892623662948608,-4.4807562828063965,38.824615478515625,976.751010131836,469.6202680412172,834.5829467773438,254.59371948242188,2215.220947265625,0.3780076434835792,0.08680082460168066,0.39116284251213074,0.12780188024044037,0.5865698456764221,1.5855123490095138,0.1604838379886554,1.6061939597129822,1.1487371921539307,1.9954795837402344
16,166,1,627.5242369174957,256,29,160,0.40129588384147813,0.25080992740092384,10.0,10.0,8.3,3.4942810419312296,10.5,3,13,-4.457576948404312,6.359039798705573,-5.773495435714722,-13.094909012317657,3.367554724216461,8.3,3.4942810419312296,10.5,3,13,-4.250597695452802,6.022869384804477,-5.658633148810802,-12.34837216425526,3.278622035717964,0.5,0.5,0.5,False,True,-0.009551785048985694,0.010343025172839825,-0.01085640630080617,-0.020571508890715545,0.0049506702643814515,14.901717925071717,6.58964659426589,19.651559948921204,4.978565216064453,21.478902578353882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.800478737056256,4.986248568290978,7.907459735870361,-0.5597608685493469,26.886049270629883,876.5513088226319,453.77305564099544,786.477783203125,314.7474670410156,2966.648193359375,0.4105602987110615,0.09617685960801799,0.42281530797481537,0.18643155694007874,0.6303783059120178,1.648637056350708,0.18322590904127123,1.6706226468086243,1.2584316730499268,2.080815553665161
15,165,2,943.0539908409119,384,44,240,0.405666972475336,0.253541857797085,10.0,10.0,8.25,3.5899164335677787,11.0,3,13,-4.583694791793823,6.595334017395679,-5.891332775354385,-13.094909012317657,3.367554724216461,8.25,3.5899164335677787,11.0,3,13,-4.3565609779011725,6.240576655619462,-5.7437453606172575,-12.34837216425526,3.278622035717964,0.5,0.5,0.5,False,True,-0.009321204610726368,0.009966687752839565,-0.011384274047834542,-0.019898962867267916,0.0049506702643814515,14.65134369134903,6.65809493457613,19.661694169044495,4.978565216064453,21.604955196380615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.238223165273666,2.8580080718052283,8.722882270812988,3.6110036373138428,15.855756759643555,697.7981239318848,261.38881384812555,645.9839782714844,237.12490844726562,1429.462646484375,0.40658086687326433,0.09669509923692526,0.39999692142009735,0.17214880883693695,0.5956730842590332,1.631956498324871,0.1733751214525095,1.6179669499397278,1.2160283327102661,1.981006145477295
15,158,3,1268.3836841583252,512,59,320,0.39344702506178764,0.24590439066361724,10.0,10.0,7.9,3.433656942677879,9.5,3,12,-4.03230954259634,6.1808985025493035,-4.970044046640396,-12.501364290714264,3.285742163658142,7.9,3.433656942677879,9.5,3,12,-3.841654635789606,5.861738335393758,-4.885060360636638,-11.815034898393156,3.1981690036535264,0.5,0.5,0.5,False,True,-0.00977827650206704,0.009527294008459962,-0.010789218743396375,-0.02039064853225539,0.0034859951721458726,14.48703030347824,6.790195349582687,18.0245041847229,5.202378988265991,21.95030379295349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25765850841999,2.4377045084172866,8.210065841674805,3.092879056930542,17.032081604003906,598.3696254730224,237.77314608545421,541.3800964355469,251.68588256835938,1469.9451904296875,0.34315296839922665,0.08402920719138644,0.3491767942905426,0.15152771770954132,0.5529013872146606,1.5094097271561622,0.15125774603809825,1.5172913074493408,1.1854206323623657,1.9029841423034668
16,163,4,1592.3748672008514,640,75,400,0.3950724794359575,0.24692029964747345,10.0,10.0,8.15,3.0540956108150907,9.5,4,12,-3.843770256638527,5.668527444558478,-5.0387939512729645,-12.320936262607574,2.6842687726020813,8.15,3.0540956108150907,9.5,4,12,-3.685619916143407,5.364124333450596,-4.919762799097661,-11.67803984449664,2.561813297427177,0.5,0.5,0.5,False,True,-0.010791990154159587,0.009322137439686918,-0.011573792701921423,-0.020506059331122678,0.001087443515279396,14.835937750339507,6.115873415848577,17.13956594467163,6.979119539260864,21.658471822738647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.361951294541359,1.859355982700739,7.193022012710571,3.6963188648223877,13.371478080749512,528.359546470642,225.1503610749854,467.13232421875,200.95193481445312,1276.6820068359375,0.3810704410076141,0.09149829019803099,0.3820973187685013,0.16963641345500946,0.5693727135658264,1.597283485531807,0.1634591445376687,1.5925565361976624,1.2533609867095947,1.962268590927124
17,155,5,1923.5254549980164,768,92,480,0.3865310970802264,0.24158193567514152,10.0,10.0,7.75,2.896118091514916,6.5,4,12,-2.355872206389904,4.924384300203643,0.6259179413318634,-10.310262143611908,2.5347105860710144,7.75,2.896118091514916,6.5,4,12,-2.29771451808253,4.650010366438368,0.47847354142724074,-9.777103089423544,2.418862702930212,0.65,0.4769696007084728,1.0,False,True,-0.0136304125349536,0.009022790255292798,-0.019878607848937732,-0.02086490826686488,0.0008653754854978379,14.07048727273941,5.553438718177077,12.079773187637329,6.979119539260864,21.881072998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1413031870499255,1.9947595255408728,5.186314582824707,0.20427460968494415,10.33523941040039,549.7566078186035,278.70265935858134,490.8318328857422,216.16070556640625,1795.0782470703125,0.342491258494556,0.08755198214218136,0.3517238199710846,0.11199797689914703,0.5136508345603943,1.5186186894774436,0.16291997940209818,1.5299355387687683,1.1355262994766235,1.829758644104004
16,148,6,2239.087991952896,896,108,560,0.4056248287112164,0.25351551794451027,10.0,10.0,7.4,2.6720778431774774,7.0,3,11,-1.2646455243229866,4.657834648076104,0.9199183583259583,-11.363724052906036,3.180212438106537,7.4,2.6720778431774774,7.0,3,11,-1.277971145013081,4.399602889622935,0.7215969699236844,-10.762894487202187,3.095222801423073,0.75,0.4330127018922193,1.0,False,True,-0.015511307422022344,0.00828153844350356,-0.020248001238413846,-0.02086490826686488,0.0004965546691400591,12.833221876621247,4.9104466944020855,11.630614876747131,5.742774248123169,20.819823265075684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0956798762083055,2.548556342654965,5.963897228240967,1.2849336862564087,12.564543724060059,529.5355581283569,221.4586724640622,499.8584899902344,190.34938049316406,1128.3260498046875,0.3981015607714653,0.08460014149252293,0.4052011966705322,0.21639764308929443,0.6669995784759521,1.6223539620637895,0.15867981741858242,1.6464095711708069,1.2983474731445312,2.116363525390625
14,175,7,2548.2513785362244,1024,122,640,0.4140205650305891,0.2587628531441182,10.0,10.0,8.75,2.754541704167864,10.0,5,12,-3.1240693271160125,5.303952984986727,-1.1294871270656586,-11.333355844020844,2.315004289150238,8.75,2.754541704167864,10.0,5,12,-3.0455199365673877,4.967838761658458,-1.3304203623032484,-10.673483374932628,2.1558289276667972,0.65,0.47696960070847283,1.0,False,True,-0.013088657157819894,0.0096776135192718,-0.01970924879005624,-0.020855716625101522,0.0011975763962675245,15.199587059020995,5.2148768841039335,16.66218590736389,7.6795995235443115,21.983480215072632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.04421679675579,2.5331452782030692,7.832301616668701,2.7945706844329834,20.67129135131836,673.0554155349731,411.99142737658207,543.6200561523438,149.98388671875,2269.697998046875,0.4944174513220787,0.0900862221412131,0.4909180551767349,0.2527443766593933,0.6628079414367676,1.7953426361083984,0.17835703600176103,1.7709224820137024,1.3242607116699219,2.2108852863311768
14,178,8,2852.6331400871277,1152,136,720,0.42052453914389315,0.2628278369649332,10.0,10.0,8.9,2.7184554438136375,9.0,5,13,-3.2588383167982102,5.331063654747039,-1.1954510658979416,-13.857077181339264,2.150004059076309,8.9,2.7184554438136375,9.0,5,13,-3.19007211485564,4.972993012924703,-1.3913570826614028,-13.040739799132025,2.0007490744044274,0.7,0.45825756949558394,1.0,False,True,-0.014189708804216373,0.008666075721077554,-0.018975072976499405,-0.020805574239500052,0.0041600502073224355,15.398335254192352,4.79690267183095,16.20475423336029,7.319418430328369,21.212334156036377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.915308329463005,2.66748079621569,6.857942581176758,1.1422090530395508,15.001553535461426,714.6894882202148,342.1432371493279,625.4841918945312,155.9718017578125,1741.864013671875,0.41704145893454553,0.1179653928277517,0.39761820435523987,0.199965238571167,0.7032982110977173,1.6851396724581718,0.23208862376476158,1.6342764496803284,1.2736736536026,2.293123722076416
15,172,9,3154.746122121811,1280,151,800,0.42368255457921805,0.2648015966120113,10.0,10.0,8.6,2.576819745345025,8.0,5,13,-2.393017387762666,5.169510907534703,0.3795921951532364,-12.133947551250458,1.9826549291610718,8.6,2.576819745345025,8.0,5,13,-2.3733543052847006,4.824296850240435,0.1724407646250592,-11.391552804610836,1.837559968472061,0.75,0.4330127018922193,1.0,False,True,-0.014957983210103415,0.008580859964522018,-0.019234953670473134,-0.02083377866075356,0.0036232300475134704,14.422775936126708,4.231261647108828,13.121588826179504,8.572933912277222,21.3444766998291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.934082406759262,3.062308485874453,4.398709058761597,0.27320513129234314,14.142870903015137,677.9528676986695,355.7480143647161,592.25146484375,168.72779846191406,1944.1383056640625,0.3963209385052323,0.10033322048510138,0.38945506513118744,0.16996490955352783,0.6675360202789307,1.657423162460327,0.2148878441815266,1.6378933191299438,1.243708848953247,2.369330644607544
