Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
161,1205,0,127.70815110206604,2048,161,320,nan,nan,10.0,10.0,12.05,3.561951712193752,12.0,4,21,-23.467267370820046,19.534693475470796,-34.805400371551514,-52.07390213012695,15.145109295845032,12.05,3.561951712193752,12.0,4,21,-22.184635199608692,18.023741435097012,-32.882040967987535,-47.24861108538315,14.594161055515288,0.39,0.4877499359302879,0.0,False,True,-0.008085557236653612,0.010750088715834426,-0.0013565070415571256,-0.06753074699553022,0.005644832557426455,110.63575856685638,28.402193819380734,104.42315292358398,64.57772827148438,213.20431518554688,6095.133380126953,2714.2966386866333,5480.29052734375,2096.301025390625,16378.2470703125,1.1891626128926873,0.12764858843011478,1.1947658061981201,0.7166568636894226,1.6486440896987915,4.5548086740076545,0.6483220148548909,4.551461696624756,2.6242947578430176,6.902720928192139
164,1248,1,255.25517654418945,4096,325,640,16.056822908263854,2.508878579416227,10.0,10.0,12.48,5.166197828190477,12.0,4,52,-26.6113334107399,22.128051487171497,-35.751529574394226,-145.6613986492157,15.132673859596252,12.48,5.166197828190477,12.0,4,52,-24.898736512943973,19.304387497757602,-33.505061014393064,-113.83870858626626,14.579144531941887,0.33,0.47021271782034985,0.0,False,True,-0.00593979467992778,0.008915379205738557,-0.000725092214172815,-0.01872404221093038,0.007270686689165029,125.346410882473,42.73150873092627,114.38061904907227,56.42755889892578,283.1737976074219,6292.016720962524,2966.054080277114,5581.3544921875,2024.6595458984375,24830.439453125,1.2996781658381225,0.10210933794298205,1.300364375114441,0.9987214803695679,1.6043239831924438,4.963168495893479,0.5481483937831744,4.963337659835815,3.605680465698242,7.038391590118408
159,1227,2,387.4892587661743,6144,484,960,15.487686423852272,2.4199510037269176,10.0,10.0,12.27,3.8957797679026984,13.0,4,29,-24.15870061814785,19.849728837157848,-34.70837724208832,-64.97778820991516,15.689152777194977,12.27,3.8957797679026984,13.0,4,29,-22.76504807286472,18.20514087008889,-32.529079388697895,-57.192671425150266,15.122431464630843,0.36,0.48,0.0,False,True,-0.007007972561933036,0.009138818094059191,-0.0008891436103738992,-0.018805662198939893,0.005108066331877964,93.71896458864212,14.99561562049653,93.97225189208984,59.127689361572266,146.0071563720703,6040.03046875,2816.8635295714407,5289.574462890625,1806.29296875,18349.080078125,1.3684451136738063,0.1030632050200921,1.3683549165725708,1.0480282306671143,1.7213612794876099,5.148182582855225,0.5419248472514469,5.118217468261719,3.5682036876678467,7.055032730102539
172,1193,3,510.12227487564087,8192,656,1280,16.700233468708646,2.609411479485726,10.0,10.0,11.93,3.484982065950986,12.0,3,19,-21.92589014440775,19.69335488787598,-34.46785831451416,-50.167606353759766,14.638471961021423,11.93,3.484982065950986,12.0,3,19,-20.778333346557275,18.13046875033624,-32.36136028074861,-45.544965800888264,14.279218521690368,0.42,0.49355850717012273,0.0,False,True,-0.007936296505425038,0.009129776463041804,-0.0016612467284098792,-0.018990471554860278,0.004913245507296604,84.16672067642212,12.914570243582684,83.85578918457031,42.670555114746094,122.23355865478516,6492.101833724975,3027.5322319450884,5854.62841796875,2018.4688720703125,20298.23828125,1.2688664881512524,0.10178666170115279,1.2788408398628235,0.9743732810020447,1.525100588798523,4.76941990852356,0.5421343062473484,4.75873875617981,3.3295116424560547,6.437613010406494
159,1235,4,640.2931787967682,10240,815,1600,15.733162621663261,2.4583066596348844,10.0,10.0,12.35,3.2105295513357293,13.0,4,23,-22.848267216682434,18.58220601683077,-34.18577986955643,-47.495349764823914,13.09991455078125,12.35,3.2105295513357293,13.0,4,23,-21.638566252669747,16.95151040909319,-32.01045354552842,-42.491449471322376,12.589920339568138,0.41,0.49183330509431744,0.0,False,True,-0.008031596938349666,0.009108488390256067,-0.002042259041569433,-0.019564292222266993,0.009509616758890088,89.66748254299164,17.454164172400375,86.77544021606445,48.296783447265625,158.60855102539062,6414.5063541412355,3398.6225876891913,5421.95654296875,1962.3653564453125,22296.689453125,1.3559628348797559,0.10105260943470669,1.3593852519989014,0.9996469020843506,1.6134315729141235,5.1104818396270275,0.5321354025467978,5.101686239242554,3.4333720207214355,6.670388221740723
159,1263,5,772.9867095947266,12288,974,1920,15.43406063343301,2.4115719739739077,10.0,10.0,12.63,5.224279854678537,13.0,4,53,-23.01975905790925,21.062634872602878,-33.79900926351547,-106.29229784011841,15.262090682983398,12.63,5.224279854678537,13.0,4,53,-21.652521769719307,18.727204260994434,-31.782454300164154,-82.30180244539349,14.707297461527824,0.43,0.4950757517794625,0.0,False,True,-0.008009081856145463,0.009071427975937634,-0.0012783208326596213,-0.01874095832882358,0.0026819561150262516,119.65833926200867,24.94414217699183,118.28842163085938,67.88800048828125,221.39349365234375,6513.750462341309,2848.560296047049,5831.68017578125,2072.39892578125,17117.736328125,1.3277322009205819,0.09693569802105617,1.3252336382865906,0.9569451808929443,1.5813162326812744,4.915577410906553,0.5026245559127974,4.887479066848755,3.21768856048584,6.35112190246582
160,1310,6,903.8970398902893,14336,1134,2240,15.644296331512791,2.4444213017988736,10.0,10.0,13.1,6.43039656630911,13.0,4,58,-24.990092612206936,20.58054201750302,-35.71325892210007,-90.63511860370636,14.671887636184692,13.1,6.43039656630911,13.0,4,58,-23.37673131062703,18.19255257065713,-33.273509864007885,-72.5086183405264,14.130856123073098,0.37,0.48280430818293246,0.0,False,True,-0.007045303837932307,0.009176820610562146,-0.000916777471795277,-0.018649617982398364,0.010193561384653327,89.10875463485718,12.640331842203985,88.7703742980957,58.066829681396484,129.8197784423828,6036.213165283203,2818.512675542237,5368.921875,2085.023681640625,16974.38671875,1.355841865390539,0.09752223125421731,1.357686460018158,1.1353445053100586,1.6416704654693604,5.212379810214043,0.5155352423966808,5.188268661499023,3.9272475242614746,7.187658309936523
162,1277,7,1032.0293455123901,16384,1296,2560,15.983478874095526,2.4974185740774257,10.0,10.0,12.77,5.108532078787409,12.5,4,49,-21.5485106664896,20.330498396877537,-34.09205222129822,-90.54832720756531,14.69842267036438,12.77,5.108532078787409,12.5,4,49,-20.33703140040189,18.14641466559308,-31.959608104488517,-70.24940616180987,14.154878864069936,0.47,0.49909918853871116,0.0,False,True,-0.00929651528441725,0.009101595161792667,-0.01216964488758275,-0.01877715198659835,0.0056838353292262556,95.91303137540817,14.798566218398257,94.77636337280273,62.777835845947266,157.80462646484375,7130.576272583008,3690.3220565028782,6512.082275390625,2075.644775390625,21774.19140625,1.3098797243088485,0.0892193513384455,1.3147640824317932,1.0706546306610107,1.5773556232452393,4.77741312533617,0.4555342003757059,4.820142984390259,3.65779185295105,6.185786724090576
160,1209,8,1162.8417809009552,18432,1456,2880,15.656003910611586,2.44625061103306,10.0,10.0,12.09,3.3943924345897307,12.0,4,22,-21.121943436264992,19.265705325932522,-33.28902608156204,-58.24066090583801,14.417496800422668,12.09,3.3943924345897307,12.0,4,22,-20.16975261713104,17.687164841379108,-31.451025848819057,-52.50336622541445,13.877858783433911,0.47,0.49909918853871116,0.0,False,True,-0.008718174636869145,0.009521968411271297,-0.007592515094052579,-0.01868390273684231,0.01122906095076176,95.69108008146286,20.844863538775748,92.19656372070312,54.87465286254883,190.56912231445312,7255.143698120117,3805.652173323494,6309.681884765625,2109.640625,21300.916015625,1.2895413987338542,0.09137497299404367,1.2924839854240417,1.0335835218429565,1.5109937191009521,4.7223491907119755,0.4416696696370031,4.72852897644043,3.6501035690307617,5.845035552978516
179,1124,9,1293.5668153762817,20480,1635,3200,15.6664712938863,2.447886139669734,10.0,10.0,11.24,3.4989141172655267,12.0,4,18,-19.658629112243652,20.911447987694327,-34.47729003429413,-42.626150369644165,14.999674797058105,11.24,3.4989141172655267,12.0,4,18,-18.602232389837226,19.40181368434867,-32.28573657538729,-39.85821499215137,14.445821523266789,0.43,0.4950757517794625,0.0,False,True,-0.008687566858053896,0.009020932873648854,-0.005373713241504999,-0.019248482951432194,0.0072892349607916185,93.54915145635604,14.260004165975863,93.19620513916016,53.138763427734375,141.0318603515625,6868.323756408691,3243.9178728965103,6293.156494140625,1515.4910888671875,19777.66015625,1.2934549640864135,0.09593484596764551,1.2930497527122498,0.9957809448242188,1.549088716506958,4.831619039922953,0.4904294635617299,4.813016891479492,3.513772487640381,6.215415000915527
