Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
131,1427,0,338.56286907196045,2048,131,320,nan,nan,10.0,10.0,14.27,3.951847669128961,15.0,4,31,-26.129992711544038,11.58450485964813,-27.985154151916504,-65.0858154296875,0.6570786237716675,14.27,3.951847669128961,15.0,4,31,-24.25004301675108,10.361375900805871,-25.96546441781723,-56.17471355426167,0.5435156871829028,0.23,0.4208325082500163,0.0,False,True,-0.003247012154074179,0.009990626155064576,0.00013538830880105435,-0.02046486675438089,0.055318237962032696,73.49346124529839,28.828471309734056,67.60876083374023,30.58257293701172,239.61631774902344,4244.780230331421,1950.9504536521931,3789.462646484375,1102.1300048828125,12648.87109375,0.6527473863214255,0.08999834484087849,0.6535138189792633,0.3895658254623413,0.8588404655456543,2.1591895915567876,0.21220508774385424,2.160003185272217,1.5833402872085571,2.6589467525482178
131,1599,1,660.1784455776215,4096,262,640,6.36785078089634,0.9949766845150531,10.0,10.0,15.99,7.773667088318098,15.0,4,57,-30.843114812374115,18.728977738193663,-29.50812304019928,-118.26143658161163,0.047116637229919434,15.99,7.773667088318098,15.0,4,57,-28.075544761975266,14.979970717208337,-27.37769171571633,-90.31021772496287,-0.05640386919307705,0.24,0.4270831300812525,0.0,False,True,-7.652373979900706e-05,0.023466735985854876,0.00011509324517908204,-0.018995999998241975,0.14932190162993916,56.30449917912483,13.465926360908998,54.45307731628418,30.18161392211914,101.87935638427734,3694.1892822265627,1779.829964868214,3239.803955078125,1260.8076171875,12179.58203125,0.7651379270479083,0.06335457918505025,0.7668390870094299,0.5607981085777283,0.9304889440536499,2.440970939397812,0.1656445251094057,2.446404218673706,1.9171533584594727,2.845921039581299
123,1756,2,923.9589123725891,6144,385,960,7.764032056216951,1.2131300087838988,10.0,10.0,17.56,7.633243085347146,16.0,5,44,-35.06730931699276,18.81087647913632,-31.726705133914948,-92.5504822731018,-1.976138174533844,17.56,7.633243085347146,16.0,5,44,-31.73554722667572,15.300694183821273,-29.318267383010664,-74.98214195014498,-2.070577771381857,0.19,0.39230090491866065,0.0,False,True,0.001418103985088287,0.017738795725420475,0.0005700203889157512,-0.018793328546166374,0.08296669605471343,49.007835114002226,9.53636728669284,48.31477737426758,28.37211036682129,78.56729125976562,3181.645711517334,1464.7038880359833,2823.0361328125,1244.363037109375,9301.6162109375,0.771173577196896,0.06307536040414509,0.7662583589553833,0.5580995082855225,0.9964980483055115,2.4457409154623746,0.15753772085383833,2.436721682548523,1.9492095708847046,2.9904587268829346
135,1485,3,1237.9819877147675,8192,520,1280,6.521813716295774,1.0190333931712148,10.0,10.0,14.85,5.127133702177075,15.0,2,37,-28.27240587890148,14.323408602162855,-30.04148155450821,-80.17092514038086,2.3466439247131348,14.85,5.127133702177075,15.0,2,37,-26.10301542902945,12.609727323494305,-27.980758667434067,-67.02886594158231,2.297454657554627,0.27,0.44395945760846234,0.0,False,True,-0.0034810254189425326,0.010909339275730609,0.000597430148082001,-0.018643366590578803,0.051697837766597476,42.01087670922279,8.253485218518088,41.17962455749512,23.881153106689453,69.45327758789062,3284.880620956421,1533.353799023405,2904.8243408203125,1113.68310546875,9896.6064453125,0.762582810036838,0.06457163699097225,0.7616405189037323,0.5940934419631958,0.9790108799934387,2.446057204157114,0.16335472015865765,2.4455841779708862,2.037205934524536,2.9868059158325195
136,1526,4,1571.133139848709,10240,656,1600,6.147359800144447,0.96052496877257,10.0,10.0,15.26,5.033130238728181,15.0,5,45,-29.736179435551165,13.700784393846915,-29.665828466415405,-93.74733662605286,-0.11322635412216187,15.26,5.033130238728181,15.0,5,45,-27.436166701835788,11.752693876340063,-27.59398823661492,-75.43770487802486,-0.24951141270103694,0.21,0.40730823708832603,0.0,False,True,-0.0020235022448670996,0.011956927819369256,0.0006876303499615544,-0.01875098153031221,0.08480588064319994,42.03067477345466,8.964452837445652,40.585105895996094,23.656858444213867,81.53829193115234,3378.771873855591,1613.0249664075268,2987.9427490234375,1233.8494873046875,11809.4345703125,0.7282816417515278,0.06194228256622681,0.7290422320365906,0.5468240976333618,0.9081624746322632,2.3427209693938496,0.15762108691044716,2.333691716194153,1.9058308601379395,2.890977382659912
130,1548,5,1858.3814294338226,12288,786,1920,7.129720434395012,1.1140188178742207,10.0,10.0,15.48,5.227771991967515,15.0,4,36,-29.81859150350094,13.79300542827959,-30.143678605556488,-75.10883569717407,0.7428184747695923,15.48,5.227771991967515,15.0,4,36,-27.46108792093883,11.869901098056689,-28.162153751352243,-63.35178492349583,0.6330925685830113,0.19,0.3923009049186606,0.0,False,True,-0.0014600738897659505,0.012486854839355807,0.00047811134477897255,-0.018627904141440027,0.08238356213843645,48.378106689453126,13.191943116772956,45.99475860595703,22.397418975830078,108.49796295166016,3309.071112823486,1636.49911151386,2905.6265869140625,1181.7366943359375,11127.0712890625,0.7164877375587821,0.06383108901727279,0.7184388041496277,0.5058776140213013,0.9474529027938843,2.334197103232145,0.1592274431549766,2.3258224725723267,1.81486177444458,2.8898839950561523
139,1502,6,2185.4654953479767,14336,925,2240,6.261387250021268,0.978341757815823,10.0,10.0,15.02,5.003958433080754,15.0,4,44,-29.010306662470104,14.980646412143528,-30.179667532444,-118.65772473812103,1.4460352063179016,15.02,5.003958433080754,15.0,4,44,-26.75863576071455,12.816806456532316,-28.00247699930238,-96.72106475430294,1.3243509602005479,0.22,0.41424630354415964,0.0,False,True,-0.0038553952670528115,0.008199928736908947,4.7141145234991244e-05,-0.019166239311057653,0.004493966653300624,57.810909336805345,21.88498971563429,53.7013053894043,23.67789077758789,163.41555786132812,3729.0248790740966,1837.8437073751322,3432.18408203125,1070.43408203125,12102.9453125,0.6618879768997431,0.0629263115941405,0.6606867611408234,0.4590070843696594,0.8329941630363464,2.2099066380411387,0.15107173976353513,2.2163572311401367,1.7203680276870728,2.6869730949401855
144,1408,7,2509.6700687408447,16384,1069,2560,6.316999105124445,0.9870311101756946,10.0,10.0,14.08,3.413736955302795,15.0,4,19,-25.545113340318203,10.245727356561536,-27.974323630332947,-44.107908606529236,-0.04941004514694214,14.08,3.413736955302795,15.0,4,19,-23.823161128095638,9.316436127391155,-25.972648253912965,-40.918487116573814,-0.1327349408807752,0.27,0.4439594576084623,0.0,False,True,-0.004605658965370866,0.008458212430252084,-0.00010660717770043238,-0.018556642127701778,0.004600720561545341,28.37007572054863,5.255391627581702,28.145974159240723,17.151105880737305,55.20848846435547,2722.795248794556,1154.0781711057966,2467.4012451171875,797.8184814453125,9300.23828125,0.603941626381129,0.05866908850075338,0.6001271605491638,0.47856205701828003,0.771034300327301,2.075049774721265,0.1422108051497354,2.0602575540542603,1.7819697856903076,2.5641260147094727
141,1367,8,2882.026997566223,18432,1210,2880,5.50009907553093,0.8593904805517077,10.0,10.0,13.67,3.821138573776146,15.0,6,27,-24.121913233101367,10.914748958561644,-27.49615627527237,-56.01920032501221,-2.256890654563904,13.67,3.821138573776146,15.0,6,27,-22.505972236693083,9.856240116840452,-25.659036141646823,-49.365446054028666,-2.3640424443817567,0.29,0.4537620521815371,0.0,False,True,-0.005164468812752945,0.008941990369496623,0.00012784693745687692,-0.01866740373739134,0.004217858740934777,46.17030279040337,18.082165325105336,40.64526557922363,20.597061157226562,151.18093872070312,3169.001142883301,1675.6552866372115,2721.470947265625,1069.440673828125,11990.6962890625,0.5675909266807139,0.05522540904611,0.5616383254528046,0.4377385377883911,0.7343264818191528,1.968277246505022,0.12523215420938313,1.9566697478294373,1.6705310344696045,2.3955345153808594
139,1451,9,3196.516848087311,20480,1349,3200,6.51213384663005,1.0175209135359453,10.0,10.0,14.51,3.2999848484500656,15.0,2,21,-25.834139124006033,9.383651249740815,-27.61276465654373,-46.15044516324997,2.403012752532959,14.51,3.2999848484500656,15.0,2,21,-24.088153965539234,8.49877418058966,-25.784852593616844,-42.012455637202045,2.353374490737915,0.23,0.4208325082500163,0.0,False,True,-0.0038029640728676007,0.008201212063734462,0.0002926145550226078,-0.02019363455869755,0.005502577777107914,29.197781935334206,5.8948538264796095,28.997614860534668,15.504864692687988,49.13333511352539,2631.636389541626,1230.7535376037497,2394.4110107421875,847.736572265625,7941.681640625,0.5632974029518664,0.05606713945186158,0.5630607903003693,0.3936767280101776,0.7284547090530396,1.9550450082868338,0.12294607993579498,1.9437114000320435,1.610992193222046,2.3830502033233643
