Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
212,960,0,130.01114082336426,2048,212,320,nan,nan,10.0,10.0,9.6,4.294182110716778,8.0,4,25,-15.80067547634244,13.087936739484013,-9.717868983745575,-48.30518615245819,-0.23172926902770996,9.6,4.294182110716778,8.0,4,25,-15.046596195576967,12.02525002797907,-9.607086245363947,-43.61583010560611,-0.33286137220192025,0.76,0.4270831300812525,1.0,False,True,-0.014266128291700415,0.007619468776311684,-0.018187614937038868,-0.01879463932698991,0.005730046957135859,43.89797011613846,8.458927057262297,43.44503211975098,20.909780502319336,66.20018768310547,5046.641062545777,2587.686012343591,4394.40234375,1447.433837890625,17825.78125,0.7006868050433696,0.0990564632958873,0.6975353062152863,0.4301541745662689,0.9709459543228149,2.431353893876076,0.2817103926181537,2.4264068603515625,1.6799066066741943,3.3936431407928467
176,1095,1,251.48690009117126,4096,388,640,16.859330720336995,2.634270425052655,10.0,10.0,10.95,4.620335485654694,11.0,4,24,-19.434445343315602,14.502560237421358,-16.352400243282318,-45.99784708023071,-0.3696632385253906,10.95,4.620335485654694,11.0,4,24,-18.334891080555906,13.259424719629104,-15.753381872453515,-41.643867795412625,-0.4676978293190013,0.66,0.4737087712930805,1.0,False,True,-0.012506463386532886,0.008597072984816637,-0.018210849255026557,-0.01894007618997695,0.006918518066251628,51.9901945412159,11.243688122220565,50.66359329223633,28.18663787841797,94.12056732177734,5483.15510559082,2822.6780535802227,4686.543701171875,1419.33642578125,15007.2763671875,0.8795646406710148,0.08414447942105037,0.8786780536174774,0.5854800939559937,1.1023584604263306,3.0024153888225555,0.30012191572564534,2.9998648166656494,2.127039909362793,3.8470585346221924
187,1076,2,374.92554092407227,6144,575,960,16.591239065669715,2.592381104010893,10.0,10.0,10.76,4.32231419496547,10.5,4,20,-19.99726879104972,14.457926020645466,-16.303228080272675,-49.56549942493439,-0.07462918758392334,10.76,4.32231419496547,10.5,4,20,-18.917514597232994,13.297381572673102,-15.8358110075913,-45.461954026525575,-0.1794866796698571,0.62,0.48538644398046393,1.0,False,True,-0.011808948828185424,0.008944063293498682,-0.018129355796232607,-0.018736619721444886,0.007705669320749536,49.58972093462944,8.047645494894779,48.62641143798828,24.924245834350586,77.52084350585938,5543.874361801148,2998.4354073920185,4864.669189453125,1591.33203125,17525.25390625,0.8994296507909894,0.09144470346391259,0.90302574634552,0.6559991240501404,1.2055087089538574,3.1607738591730596,0.36336435620123964,3.1533539295196533,2.2949044704437256,4.410547733306885
174,1188,3,497.84558606147766,8192,749,1280,16.661236966766943,2.603318276057335,10.0,10.0,11.88,4.833797678844244,12.0,4,25,-22.398278966248036,14.884589737822326,-20.227221846580505,-50.85439729690552,-0.2552095651626587,11.88,4.833797678844244,12.0,4,25,-21.057146353276593,13.553204372006384,-19.75606028508415,-45.78949122631902,-0.3554311809935573,0.58,0.49355850717012273,1.0,False,True,-0.010521100929405794,0.010107314617077518,-0.01813285086153052,-0.018844895910000353,0.014176424025390849,52.20692449808121,10.086600180567396,51.0075626373291,27.78656578063965,81.58677673339844,5822.830100631714,3390.1491648971996,5012.38330078125,1226.857177734375,18727.234375,0.9362514324486255,0.08092104096416039,0.9322457611560822,0.7361566424369812,1.2138739824295044,3.2637896932661534,0.34431757409868574,3.2486562728881836,2.513049602508545,4.676165580749512
199,1037,4,617.0839273929596,10240,948,1600,17.175683401252382,2.6837005314456848,10.0,10.0,10.37,4.302685208099705,11.0,2,23,-19.52777327314019,14.751555983417711,-15.56093106418848,-55.50754404067993,1.5834875106811523,10.37,4.302685208099705,11.0,2,23,-18.46874291137364,13.550518997289487,-15.164478357306269,-49.9839971110262,1.536990008354187,0.61,0.4877499359302879,1.0,False,True,-0.0114371837170284,0.009145646125314703,-0.018124703444226384,-0.01867724437716531,0.00787658315550624,42.55288192629814,7.4447085382611125,42.232383728027344,24.654970169067383,65.61003112792969,4897.880548858642,2691.604021212207,4315.14501953125,1332.481201171875,19067.47265625,0.8596763350069523,0.07829590013015966,0.8617141842842102,0.6311584711074829,1.1158357858657837,3.0038748614490034,0.32580848010106245,2.975019693374634,2.215000629425049,4.3887529373168945
192,1032,5,735.3096671104431,12288,1140,1920,17.322792861300545,2.7066863845782105,10.0,10.0,10.32,3.929071137050079,10.0,2,19,-19.14318610608578,14.177760481920346,-14.507274746894836,-45.63059222698212,1.2957966327667236,10.32,3.929071137050079,10.0,2,19,-18.141500306946433,13.021713721941085,-14.14796185073195,-42.17576609662627,1.250297951698303,0.63,0.4828043081829324,1.0,False,True,-0.011120703012754855,0.009886907790047136,-0.01809139966741613,-0.01879057627456676,0.01767786620068429,45.08605424165726,7.627530623925149,45.09304237365723,24.371713638305664,74.71539306640625,5032.382399749756,2705.9853690402556,4197.870361328125,1347.33203125,15755.845703125,0.8248848395422101,0.07917036863189038,0.8224377334117889,0.5626317858695984,1.0186424255371094,2.8519726902246476,0.2827926739535701,2.8486783504486084,2.044785261154175,3.5263307094573975
205,1006,6,855.7626252174377,14336,1345,2240,17.002488209387312,2.6566387827167675,10.0,10.0,10.06,4.081225306204009,9.0,4,20,-17.53593245714903,14.07196757392567,-12.47628977894783,-47.10589289665222,-0.306554913520813,10.06,4.081225306204009,9.0,4,20,-16.65851950584094,12.957597382940275,-12.262319013151389,-43.37352828213512,-0.40648634054040933,0.71,0.4537620521815371,1.0,False,True,-0.01289056432049391,0.008548068569038031,-0.01819218133556548,-0.0190214830252316,0.0036372632174226927,47.4194877743721,9.348520238634077,46.78520202636719,24.05951690673828,78.57133483886719,5117.90318107605,2546.7821032642337,4542.950927734375,1021.97216796875,15442.7744140625,0.835011363402009,0.08048360815294076,0.8270836472511292,0.563146710395813,1.1053272485733032,2.847516083717346,0.2781905711570252,2.808053135871887,2.0307934284210205,3.7047815322875977
206,952,7,974.8538627624512,16384,1551,2560,17.19689913563883,2.687015489943567,10.0,10.0,9.52,3.548182633405445,9.0,4,17,-15.78414901614189,12.76331580767261,-10.556076347827911,-40.59452033042908,-0.24153661727905273,9.52,3.548182633405445,9.0,4,17,-15.09177006790215,11.820872733016538,-10.45333176487597,-37.84148462463748,-0.34258335452938127,0.75,0.4330127018922193,1.0,False,True,-0.01408180746304792,0.007741275154583278,-0.018200454764006183,-0.018841779110445656,0.004657706340804008,38.15500517487526,7.207118699452796,37.8008975982666,21.01527976989746,58.55145263671875,4444.565417098999,2423.7360560054835,3908.784423828125,1255.218017578125,13940.0595703125,0.7464363584294915,0.07009838360902143,0.7407432198524475,0.5869883298873901,0.9438053965568542,2.552272067964077,0.2178017230830425,2.5456080436706543,2.1147279739379883,3.2080070972442627
194,1032,8,1092.4164819717407,18432,1745,2880,17.420503334942467,2.7219536460847604,10.0,10.0,10.32,4.108235631022155,10.0,3,18,-16.864306377321483,13.23407460063129,-13.286283552646637,-45.713498711586,-0.5671780109405518,10.32,4.108235631022155,10.0,3,18,-16.06053104818903,12.187022243816113,-13.019668951798188,-42.24490638542428,-0.6633595879330647,0.75,0.4330127018922193,1.0,False,True,-0.013643303068486821,0.008351010792165329,-0.018256904361373283,-0.018783243731284816,0.012271922598663138,41.550698226690294,8.316429385893592,41.0222053527832,21.597219467163086,73.34587860107422,4677.578671646118,2675.4864336089618,3748.29833984375,1375.05615234375,16359.8017578125,0.820202236995101,0.07927887461526163,0.8199017345905304,0.6087740659713745,1.0788936614990234,2.8291849315166475,0.27462752190281875,2.8114978075027466,2.1609230041503906,3.7853164672851562
207,1011,9,1216.869533777237,20480,1952,3200,16.456004656284,2.5712507275443754,10.0,10.0,10.11,3.8958824417582214,9.0,4,21,-16.468289204537868,12.492597105676259,-11.924349009990692,-40.47250008583069,-0.20391106605529785,10.11,3.8958824417582214,9.0,4,21,-15.69910284807996,11.50034475652916,-11.721418103177903,-37.30048314834379,-0.30714644510555367,0.73,0.4439594576084623,1.0,False,True,-0.013818968463107017,0.007890186035815237,-0.01820365844038311,-0.018802089628914137,0.006008837379624182,38.2897911965847,7.15759759806765,37.88124465942383,23.183034896850586,59.497108459472656,4675.183616638184,2801.0465570943193,3879.8760986328125,1099.1290283203125,16886.41796875,0.787993816845119,0.07905441517301455,0.792373925447464,0.5875753164291382,1.0019892454147339,2.76672081425786,0.28856330537214,2.7540632486343384,2.152299165725708,3.602877616882324
