Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
161,1236,0,106.56629037857056,2048,161,320,nan,nan,10.0,10.0,12.36,5.977491112498622,11.0,4,47,-2.9263707020133736,4.842886806918884,-1.224284240975976,-23.0348741710186,2.9914573431015015,12.36,5.977491112498622,11.0,4,47,-2.9224451252187755,4.413315594738279,-1.504949085439538,-20.91472190112953,2.866256666114807,0.88,0.3249615361854384,1.0,False,True,-0.017638666840156424,0.0044644117464433825,-0.019089029537096236,-0.019308494608417964,0.0011506544463302237,4.59293078109622,1.531726910623236,4.4456627368927,1.6798896789550781,9.9523344039917,484.52640690803526,179.80922788999365,437.7004699707031,220.1305389404297,1113.571533203125,1.02383797429502,0.08927466077684726,1.0263164043426514,0.7598609328269958,1.3559448719024658,3.6291503950953485,0.36178468917729095,3.614306926727295,2.6071884632110596,4.957311153411865
163,1255,1,211.29034614562988,4096,324,640,19.556156271825685,3.0556494174727633,10.0,10.0,12.55,7.369362251918412,11.0,3,58,-2.916039646565914,5.450847600402445,-1.3566482849419117,-31.07837677001953,3.8932719826698303,12.55,7.369362251918412,11.0,3,58,-2.8332616666192054,4.649061731171281,-1.604829500712936,-24.165392420931678,3.801311510181427,0.89,0.31288975694324034,1.0,False,True,-0.01738898227321857,0.005341968696487316,-0.019105870838689837,-0.01933579867344526,0.006321381941389509,7.2467878490686415,2.4263718817208577,6.962747812271118,2.7054131031036377,16.81982421875,557.1487350463867,209.61184977129983,504.686279296875,222.05958557128906,1449.8560791015625,1.0332850148901342,0.08703670028814554,1.032507061958313,0.8000555038452148,1.325293779373169,3.6270926862955095,0.35358047985138413,3.602847456932068,2.6991562843322754,4.850808143615723
152,1252,2,314.22849559783936,6144,476,960,19.89544217472856,3.1086628398013376,10.0,10.0,12.52,5.699964912172706,11.0,4,40,-3.1525180938467385,4.8026766414652124,-1.4420772939920425,-21.598089277744293,2.4989688098430634,12.52,5.699964912172706,11.0,4,40,-3.118649222724392,4.2820275418996285,-1.6347858295487399,-17.954480264993563,2.343372667884962,0.86,0.34698703145794946,1.0,False,True,-0.017103370840048884,0.005586589483951529,-0.01911545285536448,-0.019442247899121856,0.0021686122805222308,6.139744493365288,1.7829580775461893,5.951035976409912,2.664508104324341,13.494414329528809,555.4394513130188,193.78477685206553,502.6839294433594,246.2547607421875,1468.364990234375,1.0763381065800786,0.08596388050769906,1.0810694694519043,0.795041024684906,1.3607070446014404,3.8072251327335835,0.37768624955063695,3.7889848947525024,2.73978328704834,4.997677803039551
180,1085,3,425.3769166469574,8192,656,1280,18.425812806598127,2.879033251030957,10.0,10.0,10.85,4.274049601958311,10.0,3,31,-1.9467115569021554,3.7284740981164743,-0.8891022875905037,-16.804155558347702,3.593652218580246,10.85,4.274049601958311,10.0,3,31,-2.0326533024782574,3.4750800449355985,-1.1137702486025929,-15.049779557763062,3.5072550049066535,0.91,0.28618176042508375,1.0,False,True,-0.017667495633669227,0.004844591360863667,-0.019098998975084373,-0.019361060806927427,0.00017910242101146223,4.967998177744448,6.115814650573851,3.142500877380371,0.6245143413543701,41.91745376586914,523.3936543941497,246.08127278926978,449.0444030761719,216.60365295410156,1760.40380859375,0.983053844794631,0.07998649769345535,0.9886642396450043,0.7681260108947754,1.2637735605239868,3.4385197259485722,0.33185079458873706,3.423313617706299,2.5431747436523438,4.595071315765381
163,1198,4,529.3337745666504,10240,819,1600,19.700479997020366,3.0781999995344322,10.0,10.0,11.98,5.3347539774576305,11.0,3,39,-2.8091196378320458,4.719854130700682,-1.4917154610157013,-29.073919385671616,3.925915092229843,11.98,5.3347539774576305,11.0,3,39,-2.8044660608655634,4.181662099258227,-1.669679027438801,-23.69956967071976,3.836682822048664,0.91,0.2861817604250837,1.0,False,True,-0.01771959195929028,0.004698606467821497,-0.019115840264376294,-0.019492876953629584,-5.899017379573657e-06,7.616971468925476,2.9035000930627817,6.9598939418792725,2.8556067943573,21.283872604370117,572.494915342331,227.3476613408311,511.8289031982422,234.30563354492188,1797.9794921875,0.980755683220923,0.0913479311079744,0.983392745256424,0.7417795658111572,1.243356704711914,3.486245546489954,0.3705238215026814,3.473689913749695,2.6436591148376465,4.733492374420166
154,1341,5,630.0593602657318,12288,973,1920,20.332470501769215,3.1769485159014397,10.0,10.0,13.41,7.770579128996757,11.0,4,48,-3.5920362571068107,5.835261898729912,-1.2819217592477798,-24.57669821381569,3.0786257088184357,13.41,7.770579128996757,11.0,4,48,-3.451668618355887,5.0956134578210035,-1.5073205868029644,-20.051335229794187,2.954739622037529,0.83,0.375632799419859,1.0,False,True,-0.01670320163825638,0.005714169496348351,-0.01907986921128292,-0.019429690424322715,0.00010990017043532863,6.670386329293251,1.615447707938899,6.522325277328491,3.553816080093384,11.404284477233887,562.8361706733704,202.70521792347947,510.3188781738281,277.5797424316406,1586.3043212890625,1.1006918715313077,0.089905226280897,1.1007345914840698,0.8463049530982971,1.3584856986999512,3.9248503386974334,0.3969234897502864,3.9103972911834717,2.880913257598877,5.130237579345703
167,1215,6,733.8021006584167,14336,1140,2240,19.7411403655615,3.0845531821189844,10.0,10.0,12.15,5.936960501805617,11.0,5,43,-2.7591980449855327,4.6095025426998415,-1.3948500901460648,-22.15761112421751,3.134698837995529,12.15,5.936960501805617,11.0,5,43,-2.7517607850789854,4.166994378700494,-1.5640991735816199,-18.22699885372723,2.963854316431931,0.86,0.34698703145794946,1.0,False,True,-0.017421155292531434,0.004812896811736044,-0.01909768859307588,-0.019359960463933595,-4.296114846583099e-05,5.424497394263744,1.9264801885954366,5.240324258804321,1.009078860282898,11.190789222717285,536.8990340709686,170.15923182722156,495.04136657714844,251.38697814941406,1211.290771484375,1.0735117543488741,0.08994443315170086,1.0666776299476624,0.873327910900116,1.3795080184936523,3.7913575783371924,0.3940480037664938,3.7372175455093384,2.9113426208496094,5.31076717376709
151,1267,7,839.0431940555573,16384,1291,2560,19.46007908024686,3.0406373562885722,10.0,10.0,12.67,5.779368477610681,12.0,4,39,-3.3783110265433787,4.754217341474474,-1.9343201220035553,-23.342775017023087,2.8572315871715546,12.67,5.779368477610681,12.0,4,39,-3.3283829666256572,4.2772370598397895,-2.0833020782030442,-19.393732669471536,2.6981142349260088,0.84,0.36660605559646725,1.0,False,True,-0.01657133742078839,0.0061416185824046616,-0.019092426932406106,-0.020001068976489705,0.0006054715301595237,6.721426067501307,1.7617001878135168,6.453064203262329,3.1941146850585938,12.447949409484863,502.75472984313967,174.16503002098509,460.13885498046875,235.947021484375,1161.7784423828125,1.0515508137643337,0.08932088468498216,1.0521346926689148,0.7803369164466858,1.3755686283111572,3.656793515384197,0.3764216651452178,3.6164215803146362,2.6723601818084717,5.123425006866455
154,1299,8,940.0863080024719,18432,1445,2880,20.268575660444945,3.166964946944523,10.0,10.0,12.99,6.831537162308348,12.0,4,46,-3.3265492345020173,5.152959975486136,-1.4844318181276321,-20.870380133390427,2.7933448553085327,12.99,6.831537162308348,12.0,4,46,-3.240073936371808,4.599601598071214,-1.7198255343087117,-17.61123834128878,2.676419613334417,0.84,0.36660605559646725,1.0,False,True,-0.01662622440980693,0.00616707954170897,-0.019109380189353195,-0.019407801442127143,0.0011095173836588867,5.280786909162998,1.5420519736428773,5.151639223098755,2.2294201850891113,10.88660717010498,508.4737563610077,170.77610699167866,472.9533386230469,212.39596557617188,1245.723876953125,1.069543757289648,0.09218164212169734,1.0685577392578125,0.8040664196014404,1.3194581270217896,3.796396855264902,0.40680021185760856,3.7699865102767944,2.6740901470184326,5.009758949279785
145,1424,9,1040.462314605713,20480,1590,3200,20.403282311231873,3.18801286112998,10.0,10.0,14.24,6.6545022353291,12.0,4,38,-3.7766955525800587,4.683435344977578,-2.105144664645195,-18.472469210624695,2.624772071838379,14.24,6.6545022353291,12.0,4,38,-3.7103410162221486,4.17578147091806,-2.319823003072442,-15.92806537295765,2.5119397419552802,0.86,0.34698703145794946,1.0,False,True,-0.016774536559236393,0.006137902325036966,-0.019096878125118982,-0.019471149615447964,0.0010482500058968947,5.49103306978941,1.4622690396626965,5.28948450088501,1.9448039531707764,10.6774263381958,499.7056616783142,160.23624919022467,462.6406555175781,251.71533203125,1069.6080322265625,1.0964665427803992,0.08479300997312747,1.100063979625702,0.8546644449234009,1.3411691188812256,3.909821306914091,0.37399256335312603,3.8849287033081055,3.012540817260742,5.266631126403809
