Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
81,1909,0,83.1181423664093,2048,81,320,nan,nan,10.0,10.0,23.567901234567902,7.764970839506967,24.0,3,41,-36.273606755207354,17.641517650848904,-33.00354343652725,-73.48387771844864,-3.0219486579298973,23.567901234567902,7.764970839506967,24.0,3,41,-31.750390976065795,15.36343740469486,-28.681455143355173,-61.53128660781498,-3.1899453955865824,0.024691358024691357,0.1551827788885992,0.0,False,True,0.000794697862340023,0.004724856280571813,0.001180742481995234,-0.019054751138643633,0.009600962158164777,189.27995533943175,71.92556653458603,170.66358947753906,80.72496032714844,449.552734375,2842.2416083812714,1773.9191106417984,2546.6090087890625,227.61940002441406,7176.82373046875,4.016970794647932,0.07181915435459461,4.021368741989136,3.8406336307525635,4.276494026184082,63.03204562664032,5.42002962653321,63.36889839172363,50.6257438659668,81.84815979003906
88,2278,1,167.48948884010315,4096,169,640,24.273643666911802,3.792756822954969,10.0,10.0,22.78,9.086891657767248,23.0,4,40,-43.250958270579574,21.347742670393167,-36.383935391902924,-91.18344843387604,-9.226340427994728,22.78,9.086891657767248,23.0,4,40,-37.61493062572587,17.973190494867744,-31.7598785486055,-74.48124267125851,-8.693326014496598,0.0,0.0,0.0,False,False,0.001441362790522148,0.0024747576962973884,0.001118973795207076,-0.01377318613898465,0.00974863263621581,198.5101199865341,31.482104965948164,195.07513427734375,115.43755340576172,321.9064636230469,2031.6133459091186,980.4792059531483,1817.736572265625,488.6341552734375,5586.1083984375,3.928201710432768,0.05834235456006493,3.927616238594055,3.758598804473877,4.103244781494141,56.55637421607971,3.7741971165068344,56.462646484375,45.69255065917969,67.97325897216797
92,2304,2,253.30233907699585,6144,261,960,23.865889483292364,3.729045231764432,10.0,10.0,23.04,8.099283918964689,23.0,3,43,-38.921403237544,21.94666279429882,-32.33338426053524,-103.90328931808472,-1.210193682461977,23.04,8.099283918964689,23.0,3,43,-33.94811254030751,18.204167370210975,-28.58681989268331,-78.23069014638995,-1.5107439309573492,0.02,0.13999999999999999,0.0,False,True,0.0011635941759419784,0.00387176024481574,0.0011812257343202515,-0.01908523367380452,0.01421963081012434,144.8220380783081,29.120248422389505,142.84097290039062,76.52698516845703,242.71315002441406,1980.2021238327027,710.7502246512136,1848.3473510742188,661.3748168945312,4802.56787109375,3.949090499430895,0.05909593961144736,3.947459578514099,3.783191680908203,4.177490234375,58.33681579828262,3.7644089873026605,58.2313289642334,47.33425521850586,72.67015838623047
102,2054,3,340.7022912502289,8192,363,1280,23.432507101842752,3.6613292346629303,10.0,10.0,20.54,8.473983714876963,21.0,2,41,-39.87610697014257,20.101070020878687,-32.70312179625034,-91.45484608411789,0.5154667496681213,20.54,8.473983714876963,21.0,2,41,-35.39909493628848,17.60249156018633,-28.71280283200123,-74.17714470484094,0.2726352366696325,0.02,0.13999999999999999,0.0,False,True,0.0010742355644244481,0.003682125581575721,0.0014262232424553795,-0.019018717308847688,0.009103242617525681,154.13354184627534,28.101056273533267,152.4746322631836,81.72745513916016,250.4228973388672,2372.809487915039,797.3972098729315,2238.38671875,951.4025268554688,6752.12060546875,3.9361836574971676,0.053006651920818174,3.936253547668457,3.8020052909851074,4.117241859436035,56.961592209339145,3.2749383687227342,56.88973808288574,48.876529693603516,68.67630004882812
94,2132,4,420.6435821056366,10240,457,1600,25.618800723449425,4.002937613038973,10.0,10.0,21.32,7.548350813257159,22.0,3,41,-36.34997767977416,22.725718452199757,-30.018438532948494,-94.46165224909782,3.6986182928085327,21.32,7.548350813257159,22.0,3,41,-31.783228483695357,19.19572057224836,-26.175545342292992,-74.17714470484094,3.6109479654788967,0.05,0.2179449471770337,0.0,False,True,0.00041177413799049794,0.005289852167829485,0.0013293680373613892,-0.019075240891101908,0.010726471576995494,149.5356586456299,30.928108720560818,148.16168212890625,79.9800796508789,231.17019653320312,2546.6729160308837,847.3500351662697,2443.9404296875,1132.427978515625,6515.974609375,3.956767565757036,0.053967900303914455,3.958461284637451,3.811591625213623,4.097726821899414,58.28372957706451,3.3234453333908993,58.30953788757324,49.47911834716797,67.11085510253906
91,2240,5,521.6309638023376,12288,548,1920,20.27976134831211,3.1687127106737676,10.0,10.0,22.4,7.718808198161165,22.5,2,40,-34.13477269768715,18.044855821924614,-30.35599571466446,-78.66725730895996,-2.566379129886627,22.4,7.718808198161165,22.5,2,40,-30.077381293265294,15.779145053424925,-26.869875475491277,-66.5565995331398,-2.7027593372888283,0.01,0.09949874371066199,0.0,False,True,0.00094367550122788,0.0037309009657298946,0.0010934412020278672,-0.019017859133313914,0.016379315643672926,96.15728093385697,22.9896672349955,94.15106964111328,44.549095153808594,159.80963134765625,1919.5316610336304,638.0978582323803,1810.1748657226562,768.5979614257812,4395.46728515625,3.940688870102167,0.05481668314277943,3.9396743774414062,3.7821669578552246,4.086187362670898,57.35376603603363,3.3426436793362737,57.331207275390625,47.54376983642578,66.86113739013672
94,2165,6,630.1183562278748,14336,642,2240,18.877769611853225,2.949651501852066,10.0,10.0,21.65,6.657890056166443,22.0,5,41,-30.950961790159344,15.192647822299392,-27.962431728839874,-74.29190123081207,-10.766454517841339,21.65,6.657890056166443,22.0,5,41,-27.535598546809357,13.613468711690265,-25.054468280078403,-65.39766794685701,-9.798623732026535,0.0,0.0,0.0,False,False,0.0015608291748064565,0.002914037589711976,0.001264054712339438,-0.015360709428582975,0.013136504516916392,67.49266543984413,19.37702513654241,66.67804336547852,24.40655517578125,127.10939025878906,1596.9520109176635,544.6328573483199,1518.814453125,734.8261108398438,3569.5263671875,3.899372060596943,0.05778651616627766,3.898741126060486,3.730151891708374,4.0639753341674805,54.84688247442246,3.4782585422285672,54.71624755859375,45.07592010498047,64.75343322753906
93,2230,7,723.9191904067993,16384,735,2560,21.833494530479886,3.411483520387482,10.0,10.0,22.3,6.722350779303324,22.0,3,41,-28.275967866182327,13.316433583429752,-26.416854456067085,-76.30579614639282,1.115092545747757,22.3,6.722350779303324,22.0,3,41,-25.072942534088803,11.785842988766856,-22.993304153145644,-66.23300608292487,0.9346682663435133,0.03,0.1705872210923198,0.0,False,True,0.0012515951478112497,0.004138407167948811,0.0014787434588629106,-0.01903524084793637,0.013136504516916392,60.31641555428505,21.101995287719724,58.14956855773926,16.03864860534668,137.43992614746094,1403.7418788909913,493.44188196051823,1329.6581420898438,549.359130859375,3314.9951171875,3.864478886127472,0.053272959276900525,3.8652327060699463,3.696108341217041,4.0125603675842285,52.872581362724304,3.0739423004792656,52.93190956115723,43.37131881713867,60.80248260498047
91,2169,8,823.5366010665894,18432,826,2880,20.55865522337515,3.2122898786523675,10.0,10.0,21.69,6.357192776690038,22.0,4,37,-29.818976730406284,14.440110615541432,-26.109048306941986,-80.30047777295113,-1.652026116847992,21.69,6.357192776690038,22.0,4,37,-26.521465819435665,12.8416940620405,-23.542953183536962,-68.76819015557953,-1.8492885479607901,0.03,0.17058722109231983,0.0,False,True,0.0009003449818252083,0.003777809710921351,0.0011663577901309813,-0.019601656892674804,0.006766197335163482,67.38603289723396,21.235783805612968,63.67838096618652,18.822765350341797,132.97389221191406,1415.6976146697998,518.108657794611,1313.382080078125,515.6770629882812,4060.157470703125,3.8673790328204634,0.05137251763825307,3.8654537200927734,3.7181315422058105,4.049533367156982,52.902004194259646,2.973226951829418,52.83862113952637,44.08925247192383,63.24287414550781
103,2090,9,930.0917701721191,20480,929,3200,19.220090561460307,3.003139150228173,10.0,10.0,20.9,6.549045732013176,21.0,4,35,-26.2450436508283,13.58396933827133,-23.958273842930794,-71.55347776412964,0.875865250825882,20.9,6.549045732013176,21.0,4,35,-23.49117477911004,12.28065417089599,-21.38529507042389,-62.773286377643686,0.6597336661706974,0.03,0.17058722109231983,0.0,False,True,0.0006017200663461533,0.005119886151090329,0.0011054902866821092,-0.01901956106300673,0.01467117154887318,43.409420388936994,15.377050843368282,40.7496280670166,17.042905807495117,96.17495727539062,1190.4072888374328,434.28608980955084,1079.75634765625,473.1911315917969,3012.484130859375,3.845076598227024,0.05475848594925786,3.84498393535614,3.6992974281311035,3.994800329208374,51.57763525247574,3.039065121711538,51.54124069213867,43.69270324707031,59.769229888916016
