Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
85,1921,0,188.61292457580566,2048,85,320,nan,nan,10.0,10.0,22.6,5.218068157289406,22.0,14,51,-50.98586457652204,8.097344987836534,-51.14798843860626,-72.1169154047966,-13.825489573180676,22.6,5.218068157289406,22.0,14,51,-45.596664321603576,6.64904648814243,-46.17148371992984,-58.56168470268651,-13.514584859732054,0.023529411764705882,0.15157763207911915,0.0,False,True,0.002512698786978533,0.0049108016184202675,0.003129972584946683,-0.018259562191147022,0.014887273410654794,206.82319877147674,96.30286342489167,171.76546478271484,95.59732055664062,567.5181274414062,4238.556597328186,2318.344951781627,4262.111328125,325.6336669921875,8932.9072265625,3.7718992292881013,0.04878942704278727,3.7734404802322388,3.6116251945495605,3.8949289321899414,47.055575740337375,2.10410629719475,47.10663604736328,40.221153259277344,52.175941467285156
103,2035,1,401.7530081272125,4096,188,640,9.608704124890927,1.5013600195142074,10.0,10.0,20.35,4.4483142874576656,20.0,3,31,-49.094995246976616,9.933477606791222,-50.30775272846222,-63.821828961372375,0.8219358921051025,20.35,4.4483142874576656,20.0,3,31,-44.230430359876024,8.688164911449112,-45.72264768124687,-55.46757077003467,0.7495097345829009,0.04,0.19595917942265423,0.0,False,True,0.0018832260647813684,0.007677085094614665,0.003117679322913694,-0.023193498768046716,0.04290284391815169,96.19394023418427,12.911255815023647,95.57762145996094,63.83235168457031,139.90895080566406,999.8461130619049,535.1497358801568,891.2460021972656,232.8132781982422,3058.60302734375,3.7006391920149326,0.04825507532134684,3.7011419534683228,3.5751688480377197,3.8362631797790527,43.3792928814888,2.004932846242433,43.39780044555664,38.117393493652344,48.837615966796875
96,2117,2,613.8468670845032,6144,284,960,9.656102303331686,1.508765984895576,10.0,10.0,21.17,4.63908396130098,21.0,4,35,-49.291168593764304,7.81110949194013,-49.85647773742676,-62.00638544559479,-0.06015920639038086,21.17,4.63908396130098,21.0,4,35,-44.26119908004249,6.678814885245211,-45.11552598927378,-52.806737172969136,-0.1661117739005098,0.02,0.13999999999999999,0.0,False,True,0.0018786981518610012,0.008436087142473554,0.0030129010460607925,-0.05824497037383189,0.029666091050321586,86.42382063865662,12.978838884045002,85.77808380126953,59.01476287841797,125.11190032958984,1107.312773323059,568.2383578485532,994.9986267089844,261.20330810546875,3473.173828125,3.6884438537061213,0.04687910495714602,3.688155174255371,3.5610218048095703,3.8358373641967773,42.99953095912933,1.9178294244842569,43.0047550201416,37.70618438720703,49.00303649902344
101,2073,3,819.0702648162842,8192,385,1280,9.979368934709171,1.559276396048308,10.0,10.0,20.73,4.830848786704052,20.0,2,35,-49.0191456246376,9.54468367702834,-50.71960359811783,-63.923755168914795,3.758925497531891,20.73,4.830848786704052,20.0,2,35,-44.119426215815686,8.241142799827973,-45.33972205544924,-54.763135080990224,3.714007213115692,0.03,0.17058722109231983,0.0,False,True,0.002559095697463396,0.00660947659835025,0.0027273810990961767,-0.019836276588040103,0.031631826801234636,73.77864354848862,10.468617119471196,74.19441604614258,42.57199478149414,105.5782470703125,1521.878618812561,735.4476666715159,1330.3099365234375,388.95703125,3984.837158203125,3.7073921456933023,0.046585502598484096,3.7073864936828613,3.554638624191284,3.8228976726531982,43.688351249694826,1.8770149170458672,43.70412635803223,37.467098236083984,48.35795593261719
98,2057,4,1023.4953656196594,10240,483,1600,10.018339195879147,1.5653654993561168,10.0,10.0,20.57,4.488329310556435,20.0,5,34,-48.601596904695036,8.222146623239132,-49.37170660495758,-62.61924064159393,0.17770573496818542,20.57,4.488329310556435,20.0,5,34,-43.804119837080435,7.117403225870058,-44.67163128363796,-54.67448377506041,0.036948704152201195,0.02,0.13999999999999999,0.0,False,True,0.0023910545677533544,0.00608770907145565,0.0028497402799177174,-0.0297180717114002,0.016038193036456178,64.8951850771904,11.11606952740083,64.71813201904297,34.42186737060547,100.20213317871094,2198.061334323883,1131.5536403304836,1897.1012573242188,477.2366638183594,6944.05419921875,3.675929659605026,0.048641491461364,3.674167037010193,3.5165767669677734,3.8517098426818848,42.51229230165482,1.956928295725578,42.46976089477539,36.220096588134766,49.90226745605469
103,2025,5,1241.570824623108,12288,586,1920,9.391244706574776,1.4673819854023087,10.0,10.0,20.25,4.905863838306155,20.0,4,39,-47.22055634438991,10.32194810426251,-48.62760442495346,-75.91573977470398,-1.7812474966049194,20.25,4.905863838306155,20.0,4,39,-42.59507185486037,8.934697230344588,-44.16324709335252,-62.98317941666893,-1.8489837379918104,0.04,0.19595917942265426,0.0,False,True,0.002175882228869626,0.008143859659289387,0.002806129854970696,-0.018541197558004152,0.03346779614295478,53.08527448773384,9.799451541406698,52.04937171936035,31.79554557800293,85.65882873535156,2615.0920068740843,1426.0043913539887,2282.7919921875,484.5751953125,8235.7529296875,3.7181802108883857,0.04755291844516078,3.7210798263549805,3.5871105194091797,3.8878655433654785,44.13780386447907,1.9014178959484274,44.2293586730957,38.84211730957031,50.91560745239258
101,2035,6,1466.879891872406,14336,687,2240,9.089736267621872,1.4202712918159173,10.0,10.0,20.35,5.200721103847043,19.0,13,40,-48.51386035814881,7.286011410501983,-48.78150761127472,-69.19379031658173,-15.351567193865776,20.35,5.200721103847043,19.0,13,40,-43.76637098157662,5.899744698586521,-44.357695964685945,-58.51033021030224,-14.815497272746807,0.02,0.13999999999999996,0.0,False,True,0.001372126679354081,0.0053728831696179865,0.002447776220399822,-0.023490214029795703,0.01934389680940285,50.56736505627632,8.133379947913859,50.18636512756348,27.979103088378906,75.52008056640625,2640.336999702454,1390.630697903966,2218.5379638671875,637.4161987304688,7623.818359375,3.7186484560370445,0.04764883999540006,3.717420220375061,3.6087517738342285,3.839569330215454,43.9764882683754,1.8846216679553602,43.95095634460449,39.4709587097168,48.65338897705078
100,1996,7,1685.7658307552338,16384,787,2560,9.356471276559791,1.4619486369624675,10.0,10.0,19.96,4.516458789804242,19.0,4,35,-46.00990573566407,9.149455962421046,-47.900835275650024,-66.15697264671326,2.147628992795944,19.96,4.516458789804242,19.0,4,35,-41.634589592331224,7.975347102436386,-43.353117774228444,-58.72265670504839,2.0242770097892278,0.07,0.2551470164434615,0.0,False,True,0.0001818392340542452,0.007561049488757923,0.001986748775416769,-0.021194564836665958,0.0356470254128704,43.86722697019577,7.771046675273242,43.26198196411133,26.5018253326416,71.94786834716797,2889.3676025390623,1676.1246808907522,2418.34326171875,632.9738159179688,9058.0927734375,3.70655517950654,0.04883697382341211,3.704211115837097,3.579526424407959,3.831601858139038,43.46315432786942,1.905699589456284,43.34301567077637,38.591346740722656,48.56222152709961
104,1991,8,1915.1816205978394,18432,891,2880,8.927022858387662,1.3948473216230721,10.0,10.0,19.91,3.914319864293158,19.0,4,33,-47.406401632279156,8.438283265260608,-48.880374014377594,-59.83602166175842,1.1559475362300873,19.91,3.914319864293158,19.0,4,33,-42.85724869949181,7.433901520584054,-44.3614710738264,-52.3274676429234,1.027642656458616,0.02,0.13999999999999999,0.0,False,True,0.0011473364145835753,0.0055804825283219395,0.0022136030694227538,-0.018622125440417664,0.02042600189561261,43.11693304181099,7.4966728708121195,42.6539306640625,26.887712478637695,72.06455993652344,2777.0781873703004,1517.4728156084368,2390.3985595703125,579.4252319335938,9106.8896484375,3.713375497609377,0.04715698952406288,3.7151501178741455,3.5641164779663086,3.830798387527466,43.720529878139494,1.854179256815882,43.82400703430176,37.9084587097168,48.22068405151367
104,1947,9,2155.4865069389343,20480,995,3200,8.522506683834202,1.331641669349094,10.0,10.0,19.47,4.663593035418078,19.0,2,34,-46.15884237483144,10.340295326119584,-48.477605402469635,-58.19325292110443,1.7032341957092285,19.47,4.663593035418078,19.0,2,34,-41.797165888812884,9.23017214147135,-44.00085077082155,-52.063662432762825,1.6549907827377321,0.04,0.19595917942265423,0.0,False,True,0.0006111888925925948,0.005701994507139965,0.0023923316041414566,-0.0200092023444563,0.008367417201434385,46.86874222755432,9.266830928915562,45.82754135131836,25.787755966186523,77.94043731689453,2978.045419883728,1715.697953771492,2431.06201171875,695.0552978515625,9653.6845703125,3.6872335746884346,0.04402788256658072,3.690386652946472,3.5570662021636963,3.7946829795837402,42.57201738357544,1.6846189215185536,42.64373970031738,37.70428466796875,46.66944122314453
