Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
230,886,0,239.14367198944092,2048,230,320,nan,nan,10.0,10.0,8.86,3.4699279531425433,11.0,2,13,-21.25231297917664,12.03363204044838,-27.04046893119812,-46.18065118789673,2.7498810291290283,8.86,3.4699279531425433,11.0,2,13,-20.34959469412865,11.308967592401167,-25.93053229881383,-44.316442072195194,2.703414025306702,0.51,0.49989998999799945,1.0,False,True,-0.009098410076169246,0.01044198910368126,-0.019021342813767175,-0.020112107606372526,0.01164807038957627,37.64256061911583,9.156082724185058,36.26888084411621,19.022550582885742,82.78195190429688,7227.747451782227,2392.538806284118,6751.508056640625,2647.89208984375,17503.06640625,0.7464032992720604,0.09707367030344925,0.7418368458747864,0.5343769192695618,1.0478037595748901,3.073551885038614,0.4508447558168065,3.041100859642029,2.0809247493743896,4.586443901062012
231,881,1,463.1923153400421,4096,461,640,9.140872131036291,1.4282612704744206,10.0,10.0,8.81,3.69782368427701,9.5,2,17,-21.86787941351533,14.352770906273589,-25.98108422756195,-64.6045150756836,0.34691357612609863,8.81,3.69782368427701,9.5,2,17,-20.906940136581923,13.409878226993051,-25.079522545559534,-61.497386044313636,0.27694936075210563,0.56,0.4963869458396343,1.0,False,True,-0.009981567018567443,0.010522727627932302,-0.01906524840111916,-0.019313322934732424,0.011944184628745885,37.87633689045906,7.558774544303968,37.001821517944336,19.210693359375,62.18878173828125,8035.164659881591,2909.196549960288,7339.779541015625,3403.9951171875,18720.123046875,0.9020688220858574,0.10996758942207514,0.8997134566307068,0.5326504707336426,1.2495416402816772,3.790556733310223,0.5728340984560345,3.762830376625061,2.016543388366699,5.8664679527282715
232,867,2,691.048894405365,6144,693,960,8.988110013768226,1.4043921896512852,10.0,10.0,8.67,3.8132794285234333,9.0,2,15,-21.288130323439837,14.107557296966926,-19.929026246070862,-68.44610548019409,2.5703673362731934,8.67,3.8132794285234333,9.0,2,15,-20.333827075068278,13.122364449405486,-19.714276033588398,-63.049163312607824,2.5235273647308345,0.55,0.4974937185533099,1.0,False,True,-0.009980706196141111,0.010484265461697723,-0.019047046950167706,-0.01935816644657226,0.02130907211769409,36.824121749401094,10.132632627482684,35.1594181060791,18.261228561401367,72.3779296875,7720.241397094726,2871.062894370904,7205.50390625,3344.941162109375,22694.31640625,0.8674141857773066,0.09947244822825106,0.8701918423175812,0.5828253030776978,1.1003212928771973,3.561344774067402,0.5140477784480251,3.5303611755371094,2.2889320850372314,5.138004779815674
218,908,3,918.8558037281036,8192,911,1280,8.990069730934092,1.4046983954584518,10.0,10.0,9.08,3.98165794613249,11.0,2,17,-22.303356000781058,15.829832654498803,-25.06279808282852,-80.05045080184937,2.6721198558807373,9.08,3.98165794613249,11.0,2,17,-21.24513757505507,14.760939696480724,-24.127216009780835,-74.97848580657336,2.6245130872726437,0.53,0.4990991885387111,1.0,False,True,-0.008790646701702869,0.011635473086443436,-0.019067386671256528,-0.019306850208504756,0.03728813153976654,42.81294686794281,12.289466882465472,40.463809967041016,20.468894958496094,111.37028503417969,8575.389414978028,3271.302184750069,7858.975341796875,3293.812744140625,21660.30078125,0.8167183829471469,0.0965920305369685,0.810593992471695,0.5369818806648254,1.085687279701233,3.3944973565638064,0.49036654453653733,3.356319785118103,2.083312511444092,5.061831474304199
235,862,4,1165.8039507865906,10240,1146,1600,8.293238983141485,1.295818591115857,10.0,10.0,8.62,3.6545314337134935,8.5,2,15,-20.612092185616493,13.06807592884067,-19.655597686767578,-54.32444977760315,2.5956079959869385,8.62,3.6545314337134935,8.5,2,15,-19.74069747208697,12.210322982662149,-19.332389325944614,-51.2767528131807,2.548711194992065,0.6,0.4898979485566356,1.0,False,True,-0.01054218523340416,0.01067813724126487,-0.019072425841641982,-0.020055329568044372,0.009864880218833583,35.42320166230202,6.865834945890687,35.269012451171875,18.480314254760742,56.06037902832031,7384.004317474365,2687.0132746111544,6865.658935546875,3059.29248046875,22939.3828125,0.8017968682572245,0.09665021924289838,0.7992322444915771,0.5374912619590759,1.0804474353790283,3.3626001589000225,0.48583080098098896,3.363943099975586,2.22218918800354,4.828851222991943
165,861,5,1525.2937502861023,12288,1311,1920,5.696962759030335,0.8901504310984898,10.0,10.0,8.61,4.105837308028655,9.0,2,16,-22.23641909658909,15.08022721856308,-26.953226685523987,-61.215394496917725,2.599777936935425,8.61,4.105837308028655,9.0,2,16,-21.177359262978552,14.041412919498088,-26.010091037199928,-56.78689473791105,2.553174285888672,0.55,0.49749371855331,1.0,False,True,-0.009473857742400633,0.01084611764760404,-0.019047843353561092,-0.02007542104524701,0.011596351755152778,36.89344810247421,7.612213990280275,36.08505058288574,18.950050354003906,75.3725357055664,7749.578516387939,2961.433454294336,7157.057861328125,3249.4814453125,18305.560546875,0.8514799110591411,0.11321041094123975,0.8484573662281036,0.5793359279632568,1.2192431688308716,3.6883892826735973,0.6126934049491465,3.643617868423462,2.505051612854004,5.766312122344971
298,939,6,1932.4900965690613,14336,1609,2240,5.029514676874958,0.7858616682617122,10.0,10.0,9.39,3.8154816209752602,11.0,2,16,-23.63993936777115,14.57769389823838,-28.133534908294678,-57.11156749725342,2.736616373062134,9.39,3.8154816209752602,11.0,2,16,-22.51444140482423,13.622357226650937,-26.72194476426744,-53.47705577340993,2.6886364221572876,0.46,0.49839743177508444,0.0,False,True,-0.007955504792102847,0.010445387164344904,-3.754473244826917e-05,-0.019273355362350295,0.010228592322059082,42.26103020906449,10.380685343998374,40.973432540893555,22.314273834228516,78.02216339111328,8236.740872955323,3177.4295663167445,7614.56689453125,3385.35693359375,26925.05859375,0.7634854281321168,0.09262334368718057,0.7656839489936829,0.455600380897522,1.080432415008545,3.245207362622023,0.4736004341972047,3.2177679538726807,2.0545740127563477,5.023191928863525
232,853,7,2328.7959535121918,16384,1841,2560,5.167725795922027,0.8074571556128167,10.0,10.0,8.53,4.070515937814272,10.0,2,17,-21.3061296749115,13.661218903983219,-19.681555449962616,-69.23095607757568,1.0625932216644287,8.53,4.070515937814272,10.0,2,17,-20.3554582507452,12.733310006227079,-19.016289915885935,-64.54312689979842,0.9848803586482999,0.57,0.4950757517794625,1.0,False,True,-0.010195892117457745,0.01040230685891061,-0.019068173962035848,-0.020042087200367417,0.007552934602227335,35.563259315490725,8.64643167857816,34.77530479431152,17.124483108520508,62.238746643066406,7383.268360900879,2611.4496149937713,6783.9794921875,3192.787353515625,22902.083984375,0.7669606760144234,0.1064904334562455,0.7565495073795319,0.5105425715446472,1.1583056449890137,3.1858353398740293,0.5433869169390733,3.1393781900405884,2.0946030616760254,5.3286848068237305
128,843,8,2717.829973936081,18432,1969,2880,5.264321093997156,0.8225501709370556,10.0,10.0,8.43,3.837329800785958,8.0,2,16,-21.105378722548483,14.226374160313268,-21.591987252235413,-54.97162079811096,2.388054132461548,8.43,3.837329800785958,8.0,2,16,-20.20118603973962,13.332980273083319,-20.922312175746647,-51.97730617247687,2.3432931900024414,0.58,0.49355850717012273,1.0,False,True,-0.010714897557115728,0.01002263528694426,-0.019099456825571126,-0.0193460291619649,0.004568317878186984,35.901598390936854,8.819439618381518,34.90864372253418,14.339001655578613,63.84028244018555,7441.453690338135,2737.1224880884547,6707.50927734375,2694.94189453125,18581.4609375,0.7941552700474859,0.10176876029753834,0.792493999004364,0.49627208709716797,1.1137750148773193,3.282500373572111,0.5025217834610338,3.239676833152771,2.012842893600464,4.883036136627197
193,816,9,3128.992216348648,20480,2162,3200,4.981002117273702,0.7782815808240159,10.0,10.0,8.16,3.867091930637284,8.0,2,16,-19.348243344426155,14.432934806047179,-14.19829523563385,-67.41914415359497,2.60024094581604,8.16,3.867091930637284,8.0,2,16,-18.491046209963038,13.460938386352293,-13.881046978113025,-63.167975054636464,2.5535392427444457,0.59,0.49183330509431744,1.0,False,True,-0.010506092349487673,0.0106370601319247,-0.019063750851094324,-0.019365903475383583,0.019892863578268388,34.03588175177574,8.07848469120069,33.460981369018555,16.12022590637207,66.06796264648438,7631.658493804932,2630.424414803016,7100.530517578125,2912.77001953125,23149.16796875,0.7217735869809985,0.09325636974863286,0.7154742777347565,0.49620360136032104,1.0770914554595947,2.9835503809154034,0.4545998203378739,2.9449349641799927,2.0770936012268066,5.118006706237793
411,872,10,3529.813334465027,22528,2573,3520,5.109511219429714,0.7983611280358928,10.0,10.0,8.72,3.600222215363935,11.0,2,14,-20.466224879175424,13.662118621842241,-27.511491417884827,-62.144145488739014,2.7271440029144287,8.72,3.600222215363935,11.0,2,14,-19.560140969161747,12.846178678012409,-26.154192965830177,-59.07546833105316,2.678870325088501,0.49,0.49989998999799945,0.0,False,True,-0.008657216859460208,0.010425841864349665,-0.004704461466705515,-0.01940378853552535,0.008508736728320615,31.60182166993618,7.343985229608008,31.16477108001709,14.778788566589355,63.12921905517578,7122.373267364502,2598.4153010326168,6573.60791015625,3179.06787109375,16775.39453125,0.6791137164458633,0.09371869505268991,0.6778558790683746,0.4468516707420349,1.0300711393356323,2.8636717684566975,0.4420630131239176,2.837722659111023,1.8750579357147217,4.5196638107299805
250,787,11,3928.579120159149,24576,2823,3840,5.1358468391040475,0.8024760686100074,10.0,10.0,7.87,3.632230719544121,7.0,2,17,-18.202146534323692,13.708089625333054,-13.731632113456726,-64.30464029312134,2.7287044525146484,7.87,3.632230719544121,7.0,2,17,-17.48826654410094,12.842377324320962,-13.532505098106947,-60.005660037308786,2.6803932571411133,0.67,0.47021271782034985,1.0,False,True,-0.01237175610549679,0.009697701062635405,-0.019096807502085034,-0.019519326594725883,0.004577959371950491,28.113253954052926,6.384470560994411,27.515380859375,14.421485900878906,52.73390197753906,6918.74959564209,2575.3446674128872,6440.692138671875,2943.237060546875,18302.201171875,0.7054386580362916,0.09036814760613143,0.7038849294185638,0.42690494656562805,1.0099867582321167,2.865603642910719,0.4037591450199462,2.8670928478240967,1.914571762084961,4.400987148284912
