Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
190,1100,0,334.0367000102997,2048,190,320,nan,nan,10.0,10.0,11.0,2.723967694375247,12.0,2,18,-31.030321379899977,15.008020707639288,-30.96799325942993,-100.62710809707642,-2.334688186645508,11.0,2.723967694375247,12.0,2,18,-29.420082929663053,13.8056036807949,-29.296948121657685,-89.42665727354573,-2.40061306949997,0.29,0.45376205218153715,0.0,False,True,-0.003996867497207726,0.01011775650493289,0.0011553731094797737,-0.019405667524697773,0.0210020558962965,38.84000089764595,12.147887416342494,35.777408599853516,19.57781410217285,83.9031753540039,6659.284204101563,2221.9989273719125,6231.959228515625,2717.05908203125,14359.18359375,0.8529038602486253,0.09153368187221649,0.8505111634731293,0.6175726652145386,1.109745979309082,3.0496419042348863,0.32378382484739265,3.0274457931518555,2.212678909301758,3.9256372451782227
180,1085,1,700.8863637447357,4096,370,640,5.582668331086588,0.8722919267322794,10.0,10.0,10.85,2.822676035254488,12.0,2,15,-28.383358430862426,10.834564440566137,-30.476903676986694,-64.10632181167603,0.7614564895629883,10.85,2.822676035254488,12.0,2,15,-26.94799141033869,10.083844866187086,-28.843567346836487,-60.483391616980164,0.6846250251293187,0.31,0.462493243193887,0.0,False,True,-0.004309069591955001,0.010212319354846355,0.0010229176549839541,-0.01932578158987111,0.011848707590273483,48.13083137273789,14.260464332204865,46.57668685913086,18.23536491394043,98.17584228515625,7062.8779197692875,2226.0860379833093,6578.724853515625,3176.205078125,16006.95703125,0.8925320532172918,0.09423243937293459,0.8894944190979004,0.6416242718696594,1.1510281562805176,3.185632647573948,0.33815572880063255,3.154799699783325,2.430328845977783,4.361928939819336
178,1159,2,1017.3182260990143,6144,548,960,6.472167451035793,1.0112761642243426,10.0,10.0,11.59,3.328948783024455,12.0,2,21,-32.122712461948396,14.06363361654942,-31.162078857421875,-89.72408866882324,-1.9543304443359375,11.59,3.328948783024455,12.0,2,21,-30.27893038850519,12.809195821233752,-29.497941592988383,-81.70983939221506,-2.02944148981142,0.24,0.4270831300812525,0.0,False,True,-0.0023673634788922726,0.009987715715490425,0.0014018558319682378,-0.019405513721293274,0.01805199842771052,48.17968459129334,12.973336008713398,46.53822708129883,21.552568435668945,95.78639221191406,8023.2657119750975,2440.4341695436347,7726.5791015625,3704.49072265625,19963.50390625,0.916725990921259,0.07864841841486997,0.9158871173858643,0.7073099613189697,1.1854006052017212,3.1936479210853577,0.2795312776094398,3.1860578060150146,2.5413217544555664,4.221603870391846
186,1112,3,1366.5399882793427,8192,734,1280,5.864468431788252,0.9163231924669143,10.0,10.0,11.12,3.769031705889458,12.0,2,22,-30.90264214605093,16.440050228517286,-31.68254864215851,-112.08201813697815,0.309218168258667,11.12,3.769031705889458,12.0,2,22,-29.087777909237,14.375523710513395,-29.861942438856737,-96.15735494557467,0.23736358022689874,0.34,0.4737087712930805,0.0,False,True,-0.005161388547451023,0.01027318439667462,0.0008194807495459366,-0.019365192351386062,0.010473533387344913,75.6820087313652,31.184164787436185,70.2126235961914,24.498517990112305,185.0792999267578,9752.59621810913,3184.611964171489,9218.8779296875,3921.873779296875,20478.0390625,0.9197584167122841,0.08057626757834788,0.9171754121780396,0.7409678101539612,1.1448233127593994,3.1937979802489282,0.28384379870962334,3.1702897548675537,2.5260632038116455,3.946068048477173
188,1088,4,1743.8203375339508,10240,922,1600,5.428324067357943,0.8481756355246787,10.0,10.0,10.88,3.0798701271319873,12.0,2,21,-29.169234669804574,12.083861321455515,-30.63000977039337,-87.76421642303467,-2.5048909187316895,10.88,3.0798701271319873,12.0,2,21,-27.633698906335656,11.113399845066208,-28.967728480051473,-80.89162398887498,-2.5689740929045684,0.26,0.4386342439892262,0.0,False,True,-0.0037171084794859455,0.009401421721965262,0.0011777730929800473,-0.019425533007068244,0.011848843552614785,41.325523710250856,13.01945431303385,38.72258186340332,20.3290958404541,98.66165161132812,6815.620265197754,2200.762046166731,6365.670166015625,3003.283935546875,16593.154296875,0.8538797076791524,0.08178014551102626,0.854979008436203,0.5963988900184631,1.1003628969192505,2.9952197909355163,0.2784913475979098,2.9889373779296875,2.241345167160034,3.8985934257507324
189,1078,5,2098.273444890976,12288,1111,1920,5.777915209351343,0.9027992514611474,10.0,10.0,10.78,3.0218537357059487,12.0,2,17,-29.387630337774752,12.392982173135744,-30.978880047798157,-75.90741229057312,-2.3625741004943848,10.78,3.0218537357059487,12.0,2,17,-27.899523179058793,11.482227717764944,-29.299546047835314,-70.47792336032207,-2.4271190928564064,0.35,0.4769696007084728,0.0,False,True,-0.005762826863639761,0.010070169731865843,0.0008504360801237926,-0.019335028180610003,0.010113123171703237,42.31080415844917,19.275132282855775,36.31656837463379,16.411760330200195,144.82923889160156,6912.188899230957,2482.6631323413885,6382.85205078125,3207.09375,20518.57421875,0.8384362254291773,0.07721635057692083,0.8374297916889191,0.6131381988525391,1.0512300729751587,2.9406178668141365,0.2699290609761188,2.9322853088378906,2.243246555328369,3.7849624156951904
187,1077,6,2445.2626910209656,14336,1298,2240,5.90220020603398,0.9222187821928093,10.0,10.0,10.77,3.2767514400698747,12.0,2,16,-28.94351146578789,12.159257226709789,-30.5249445438385,-75.02939701080322,-0.6796923875808716,10.77,3.2767514400698747,12.0,2,16,-27.460507672458185,11.305378720683084,-28.915795544213786,-70.32712616046612,-0.7811410239672663,0.29,0.4537620521815371,0.0,False,True,-0.004045631078205792,0.009770480286453581,0.0013756157355457738,-0.01930273945948341,0.008725468152544547,30.779071313142776,7.3845510219607435,29.76687717437744,16.291732788085938,56.38125228881836,5969.746783447265,1884.9984267153677,5621.442626953125,2691.639892578125,12386.7509765625,0.8198733253404498,0.07763635623705704,0.8241573572158813,0.6140434741973877,1.0869536399841309,2.8549831241369246,0.26033749406691564,2.839479684829712,2.186121940612793,3.814622640609741
181,1081,7,2813.2205741405487,16384,1479,2560,5.5658543924561545,0.8696647488212741,10.0,10.0,10.81,2.9281222652068344,12.0,2,17,-27.89214908838272,11.605218228658618,-29.92133617401123,-67.43733048439026,-1.8955035209655762,10.81,2.9281222652068344,12.0,2,17,-26.47412650055971,10.698176492495046,-28.44610055710826,-62.142036432843945,-1.9707554863715169,0.3,0.458257569495584,0.0,False,True,-0.004495783052419591,0.009800845480364757,0.0009345045633615684,-0.01930788809616346,0.01222676131106773,35.25586181282997,9.8175089628908,33.78872108459473,15.538890838623047,85.9938735961914,5621.704454803466,1928.5383595129183,5231.388916015625,2686.922119140625,16527.978515625,0.8648054437711835,0.08496981496535154,0.8647423684597015,0.5988470911979675,1.0974496603012085,3.023430433869362,0.2904883747109989,3.0036453008651733,2.224790334701538,3.99597430229187
189,1103,8,3181.0018632411957,18432,1668,2880,5.56852689544939,0.8700823274139671,10.0,10.0,11.03,3.115942874957755,12.0,2,21,-29.163125765323638,11.383796064572227,-30.865667700767517,-55.719826459884644,-1.827927827835083,11.03,3.115942874957755,12.0,2,21,-27.644403473027552,10.553430723762434,-29.197786745917178,-51.561993890275716,-1.9024818098731044,0.26,0.4386342439892262,0.0,False,True,-0.003946014083253275,0.009350212669070424,0.0011723287307689872,-0.019350475863343167,0.009445946395040011,37.26184479594231,11.878080266133301,35.005388259887695,17.26230812072754,102.11537170410156,6696.222875976562,2364.870257167127,6281.44921875,3106.071533203125,20120.55859375,0.7552986098453403,0.07853446168891859,0.7523975074291229,0.48369264602661133,0.984171450138092,2.6863253228366375,0.2669197944877456,2.6698975563049316,2.026951313018799,3.5131773948669434
183,1102,9,3539.288864850998,20480,1851,3200,5.716087914990577,0.8931387367172776,10.0,10.0,11.02,2.8459796204470615,12.0,3,18,-29.487711023390293,12.561422682353033,-30.199753403663635,-77.45938229560852,-1.1860222816467285,11.02,2.8459796204470615,12.0,3,18,-27.965396691713234,11.560887119363214,-28.522221977850684,-71.0613521808883,-1.2748110094051368,0.31,0.462493243193887,0.0,False,True,-0.004856307242993916,0.009960681512584472,0.0005759433416186177,-0.019306504728205637,0.011649361556232252,31.278259155154227,8.165852545338844,29.648613929748535,14.713884353637695,55.2970085144043,5907.576561737061,2003.4705326368125,5535.47314453125,2295.126708984375,15495.203125,0.785535066574812,0.08776203231589452,0.7805330753326416,0.5640100240707397,1.140577793121338,2.810981184989214,0.2939369396712774,2.7878968715667725,2.088900566101074,3.880042552947998
