Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
138,2113,0,389.2184271812439,4096,138,320,nan,nan,10.0,10.0,21.13,6.327171563977067,24.0,5,36,-36.539213810414076,25.78954304765919,-39.97345328330994,-73.3831707239151,14.271225810050964,21.13,6.327171563977067,24.0,5,36,-33.26013681664201,22.17828529322459,-37.810514340348234,-61.87698351908318,13.554814777775057,0.51,0.4998999899979995,1.0,False,True,-0.009660145013783036,0.009193194085127277,-0.018030707144827338,-0.019453318255940474,0.0030875866662684603,151.2013341665268,15.628202359420532,149.63492584228516,114.61634826660156,197.12948608398438,23158.137982940672,15402.118873256215,19145.740234375,3737.336669921875,113102.09375,2.510818301141262,0.07998286856356508,2.5157264471054077,2.3022937774658203,2.746931552886963,14.39790615439415,0.9278201276587188,14.439066886901855,12.128562927246094,17.126985549926758
177,2333,1,681.6394073963165,8192,315,640,14.007202892854794,1.0943127260042809,10.0,10.0,23.33,5.006106271345026,25.0,9,33,-44.85554038703442,22.93396769169078,-58.58443582057953,-70.87388098239899,4.421576648950577,23.33,5.006106271345026,25.0,9,33,-40.390010706752086,19.378836423969744,-52.09419070697949,-60.531112514295394,3.353528443974751,0.36,0.48,0.0,False,True,-0.006464213665685872,0.009067736354795264,-0.0004891665187941874,-0.018612786215935595,0.00377587678905289,142.32318849563597,14.446094347935942,141.14427185058594,93.69541931152344,188.9473114013672,18589.359533691408,11949.304236853584,15779.111328125,4837.134765625,69264.3359375,2.5866236604750155,0.05363710741971516,2.5894203186035156,2.4240097999572754,2.72586989402771,15.464083194732666,0.6715356668532021,15.500404357910156,13.408782005310059,17.298864364624023
221,2375,2,939.2266244888306,12288,536,960,15.901410195090916,1.242297671491478,10.0,10.0,23.75,6.142271566773974,25.5,8,37,-44.86825234621763,24.5649345658482,-59.3439245223999,-75.64131510257721,8.956880897283554,23.75,6.142271566773974,25.5,8,37,-40.27797815997984,20.84210435262235,-52.12675596519622,-66.0411091059221,7.8760181397286555,0.39,0.4877499359302879,0.0,False,True,-0.007663947078603116,0.009311693797963464,-0.0011018146988124866,-0.01871828203436013,0.0037259548214039206,143.0399243116379,15.089791776937897,142.7137680053711,106.92909240722656,189.92840576171875,16925.292462158202,10036.371230817038,14754.4990234375,3496.751708984375,60294.28515625,2.537434082478285,0.05627936123938548,2.5331804752349854,2.385673999786377,2.6699957847595215,14.894023522734642,0.6850984338573012,14.901581287384033,13.08812141418457,16.84212303161621
177,2225,3,1189.0947623252869,16384,713,1280,16.392646279218337,1.2806754905639326,10.0,10.0,22.25,6.127601488347622,24.0,5,31,-38.44926833048463,24.940354292709774,-42.61474418640137,-71.41577863693237,12.902801871299744,22.25,6.127601488347622,24.0,5,31,-34.94437282141505,21.182652273803185,-40.44069150536186,-61.694817431332496,12.241119817293633,0.51,0.49989998999799945,1.0,False,True,-0.009696475121283302,0.009343787013521569,-0.018034362202324114,-0.020469870455178563,0.003993890172913739,127.02477531433105,13.787449525700838,127.48466491699219,93.89981842041016,166.80531311035156,18964.06590499878,12071.89873154956,15546.3427734375,3253.411865234375,71864.9453125,2.4946870230138303,0.05601316851586772,2.4939509630203247,2.337581157684326,2.6849365234375,14.397126466035843,0.6599520799983226,14.38544225692749,12.742856979370117,16.769752502441406
180,2323,4,1432.3305006027222,20480,893,1600,16.839630676837842,1.3155961466279564,10.0,10.0,23.23,6.920773078204485,25.0,5,41,-41.726224814504384,25.249184588588104,-56.08743113279343,-80.2276382446289,13.847052454948425,23.23,6.920773078204485,25.0,5,41,-37.512738711590934,21.495641719368244,-49.75125768453586,-65.65642306033243,13.145054809134429,0.44,0.4963869458396343,0.0,False,True,-0.008781417111661034,0.009192894534147886,-0.008286340725371821,-0.019168474234401933,0.009318406676457919,138.3727511882782,13.721233663427126,137.80037689208984,100.53236389160156,186.42401123046875,18074.675548553467,11581.063405997305,14814.39599609375,3469.4345703125,72178.6953125,2.512162688374519,0.06214767868056819,2.5147719383239746,2.3242077827453613,2.6700873374938965,14.720276507735253,0.7370349106489379,14.703525066375732,12.700060844421387,16.67547035217285
174,2268,5,1680.6659052371979,24576,1067,1920,16.493822159707324,1.2885798562271347,10.0,10.0,22.68,6.429432323308179,25.0,6,36,-41.05602224607021,26.236677075989142,-57.85630363225937,-72.76818573474884,10.880770206451416,22.68,6.429432323308179,25.0,6,36,-36.97099674887143,22.417573927297266,-51.048471951295085,-64.8759361075902,10.04128093370995,0.44,0.4963869458396343,0.0,False,True,-0.007663474291423249,0.009596481713264077,-0.0008157431444902746,-0.02027006728296611,0.005754795461287293,134.15934271812438,15.56851429576196,133.21243286132812,100.01130676269531,178.83143615722656,19653.05120315552,14467.888648463746,16255.66455078125,3790.24169921875,107295.0234375,2.500216468423605,0.0539918860194551,2.4986082315444946,2.33443284034729,2.6632471084594727,14.271296083927155,0.657790929910723,14.21007490158081,12.599167823791504,16.314725875854492
181,2221,6,1930.8138027191162,28672,1248,2240,16.374313121284878,1.2792432126003812,10.0,10.0,22.21,6.713114031505795,24.0,3,36,-40.269856154769656,25.717919082373996,-56.08973741531372,-72.86154460906982,16.998621463775635,22.21,6.713114031505795,24.0,3,36,-36.40035328967449,22.035220544518925,-49.86416732268322,-62.47626195698592,16.61644144306183,0.45,0.49749371855331004,0.0,False,True,-0.00951290030444913,0.009046930210681413,-0.013482654852014012,-0.018754090003511248,0.003821512898224716,146.19716408252717,15.459451140379398,145.24031829833984,102.72428894042969,193.14657592773438,18316.858993530273,11774.14638010796,15938.90966796875,3715.948486328125,76729.484375,2.5038687765598295,0.055551916940840704,2.507384777069092,2.339235305786133,2.6630892753601074,14.385782310366631,0.6645347768864981,14.389111995697021,12.388725280761719,16.518695831298828
128,2297,7,2179.4392523765564,32768,1376,2560,16.4745805614169,1.2870766063606953,10.0,10.0,22.97,6.261717016921157,25.0,7,32,-42.7202155251801,24.444554073067057,-57.06137681007385,-73.38481760025024,10.90273854136467,22.97,6.261717016921157,25.0,7,32,-38.437475940958464,20.90762301061467,-50.11222498973839,-64.47675832503977,9.931364929846117,0.41,0.4918333050943174,0.0,False,True,-0.007176645309470948,0.009549395253750214,-0.0004216559807395659,-0.01877670201597162,0.007209161608844217,135.17288200855256,15.095866353554419,134.22389221191406,89.76094055175781,173.30467224121094,16729.49867858887,10274.058988696093,13467.6142578125,3120.19287109375,73441.671875,2.508279760181904,0.053380249724627675,2.508892774581909,2.3388752937316895,2.639928102493286,14.351128941774368,0.643285618632403,14.368060111999512,12.540509223937988,16.040647506713867
185,2328,8,2427.5625677108765,36864,1561,2880,16.507920646155604,1.2896813004809067,10.0,10.0,23.28,6.735102077919829,25.0,3,36,-42.63139382123947,25.447445688309976,-57.08640307188034,-81.0208181142807,15.959663689136505,23.28,6.735102077919829,25.0,3,36,-38.192901936644596,21.61247085160395,-50.595079524866094,-67.14886090036708,15.572133341288565,0.4,0.48989794855663565,0.0,False,True,-0.007606388540189722,0.009284721047212363,-0.0015549147387974027,-0.018770035475470237,0.004072394990657507,133.53800332546234,14.535997076598292,133.4265365600586,93.66419219970703,174.52037048339844,17741.721091461182,11580.813111837835,14359.20751953125,3333.036865234375,71102.9296875,2.49140235260129,0.048007466285730854,2.49046528339386,2.3018224239349365,2.6339080333709717,14.033605861663819,0.573325012048366,14.007317066192627,11.889220237731934,15.641021728515625
128,2156,9,2661.742445707321,40960,1689,3200,17.490828140503965,1.3664709484768722,10.0,10.0,21.56,7.165640236573422,23.0,2,38,-36.180254080593585,27.10966710949184,-37.96143689751625,-84.2001360654831,14.838927984237671,21.56,7.165640236573422,23.0,2,38,-32.7316453655026,23.227748345809186,-35.9168377976967,-69.3105065039345,14.661549119949342,0.51,0.4998999899979995,1.0,False,True,-0.009483583583627537,0.009476536992481044,-0.01804717894271371,-0.019353870935935102,0.009408049053297562,139.74864008426667,14.072333813788667,139.29891204833984,100.95770263671875,176.76585388183594,16585.836348724366,10794.243616180109,13399.5595703125,3670.338623046875,56728.15234375,2.4795409820973875,0.05094924895133174,2.4785776138305664,2.262511968612671,2.6041600704193115,13.911183887720108,0.6015659453152872,13.890946388244629,11.658358573913574,15.29265022277832
