Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
45,1844,0,75.46678900718689,2048,45,320,nan,nan,10.0,10.0,40.977777777777774,17.385164670410344,41.0,3,94,-116.75496039523019,47.65101393752285,-134.62725400924683,-189.37974429130554,13.173025846481323,40.977777777777774,17.385164670410344,41.0,3,94,-93.88528656711566,36.13400215399757,-109.67083242471996,-122.42319691048701,12.809576783466339,0.2,0.4,0.0,False,True,-0.004492766860909004,0.011411770383585079,-0.0010628468108722922,-0.01854980623549307,0.04014935992237742,651.0023490905762,331.4962079388563,540.5772705078125,213.19769287109375,2124.945068359375,26730.5879989624,26803.291563020422,15752.14208984375,4143.455078125,133642.140625,0.6226081813685596,0.13568648961098076,0.6136581897735596,0.30442488193511963,1.071940541267395,2.8590722028166056,0.47619751309806274,2.8539150953292847,1.7366039752960205,4.569740295410156
44,3751,1,158.60484528541565,4096,89,640,24.63372481485722,3.8490195023214406,10.0,10.0,42.146067415730336,18.88198151963439,41.0,3,97,-117.50552049379671,48.81015166877577,-136.1166410446167,-192.02771878242493,13.173025846481323,42.146067415730336,18.88198151963439,41.0,3,97,-93.88646840344845,37.11459998596979,-110.05464610996067,-126.27053043680137,12.809576783466339,0.20224719101123595,0.4016755714993141,0.0,False,True,-0.004048109507849125,0.011486098599456058,-0.0008098686269897015,-0.019031499475708813,0.04014935992237742,377.1686926841736,78.18367201286019,367.21238708496094,175.23193359375,640.3663940429688,14310.069023132324,5603.287583871477,13700.9736328125,4590.07470703125,33801.37890625,0.9464701317250729,0.11792775658361979,0.9446839094161987,0.6594661474227905,1.2721627950668335,4.004986340552568,0.49083563573883765,4.007082462310791,2.8083064556121826,5.433624744415283
52,4176,2,236.02337193489075,6144,141,960,26.453616319419915,4.133377549909362,10.0,10.0,41.76,22.19825218344904,41.0,4,98,-110.19477891676128,57.19526751109848,-136.62717324495316,-192.02771878242493,13.836257219314575,41.76,22.19825218344904,41.0,4,98,-87.04737668662189,43.41003518521245,-110.01868572343881,-129.21545829385528,13.285480525530335,0.28,0.4489988864128729,0.0,False,True,-0.0037271268570655625,0.012438815478939961,-0.0007027468631303768,-0.019031499475708813,0.038854679893131266,489.494273853302,94.27620990576858,488.1999053955078,248.65151977539062,779.2350463867188,17488.6287979126,7302.485058686908,16051.078125,5160.71337890625,48745.25,1.0319915182888508,0.11699663128043897,1.0263382196426392,0.7508053779602051,1.3499722480773926,4.0671840980648994,0.4709046907206644,4.034751653671265,2.8878118991851807,5.368424415588379
50,4016,3,319.30368208885193,8192,191,1280,24.591647127800567,3.8424448637188386,10.0,10.0,40.16,23.10269248377773,42.0,4,98,-104.89384646870195,63.86529923543031,-138.04761570692062,-190.94487714767456,13.836257219314575,40.16,23.10269248377773,42.0,4,98,-82.25231384890732,48.27255089684727,-111.45082724892822,-129.21545829385528,13.285480525530335,0.32,0.46647615158762396,0.0,False,True,-0.0033124857173683162,0.013224522223624576,-0.0006652852119141683,-0.01918281281253556,0.03886685470021051,456.5156871795654,102.7904839397099,450.62562561035156,230.3470916748047,897.2214965820312,18726.631730651854,9052.553840929771,16372.41259765625,5314.560546875,67383.4140625,0.8914487827569246,0.10040306807941421,0.8971261978149414,0.5182644128799438,1.2311575412750244,3.4674039967358112,0.3948754281329078,3.4960066080093384,2.240292549133301,4.750113487243652
47,4098,4,403.18573212623596,10240,238,1600,24.415235429835825,3.8148805359118474,10.0,10.0,40.98,21.188194826364988,42.0,5,94,-110.0176801821962,60.92106116549698,-139.84923315048218,-190.4275724887848,10.93520212173462,40.98,21.188194826364988,42.0,5,94,-86.48213303311975,46.193577890719496,-112.26121740226861,-123.54854347106593,10.266869288271346,0.28,0.44899888641287294,0.0,False,True,-0.0032714117507722483,0.012034651418419714,-0.0004981914889484601,-0.01918281281253556,0.03886685470021051,421.48515191078184,83.43520789222039,422.26307678222656,215.29405212402344,690.7252807617188,19664.63738861084,10346.638278075605,16709.19921875,4505.34228515625,66432.5,0.9069341374561191,0.10366965597581243,0.9021732211112976,0.5611514449119568,1.1837166547775269,3.6369746714830398,0.4234396684347409,3.632641315460205,2.16530704498291,4.665671348571777
47,4293,5,512.8724508285522,12288,285,1920,18.67135806622276,2.9173996978473062,10.0,10.0,42.93,19.93903458044045,42.0,4,106,-117.89781706977635,53.458649544192184,-139.13924837112427,-211.77068543434143,10.556933879852295,42.93,19.93903458044045,42.0,4,106,-92.98302380343935,40.34473615093114,-112.21670179088768,-127.93272996999191,9.922972342591287,0.22,0.41424630354415964,0.0,False,True,-0.002617083578782258,0.011135003370866,-0.00033667540604014057,-0.018749404272836584,0.042642167078943194,403.11179103851316,88.43658157442462,395.04029846191406,215.8472900390625,746.0902099609375,18502.09505996704,8822.369132857266,16579.384765625,3605.831298828125,55959.6484375,0.8592669559642673,0.11367470484565376,0.8500042855739594,0.5544340014457703,1.1845471858978271,3.6290067128837107,0.46420862478301805,3.589993715286255,2.497023820877075,4.985090255737305
58,3950,6,641.7130000591278,14336,343,2240,15.8956168087646,2.483690126369469,10.0,10.0,39.5,18.315294155431957,42.0,4,106,-114.44801523439587,55.527904796526556,-138.2162709236145,-211.77068543434143,10.425303220748901,39.5,18.315294155431957,42.0,4,106,-91.64271858431972,43.01855562531587,-112.8109515196528,-127.93272996999191,9.922972342591287,0.23,0.4208325082500163,0.0,False,True,-0.0035622720917448648,0.01065006215736202,-0.0004903320312447113,-0.019166185683549025,0.042642167078943194,445.9021590232849,99.01456481433985,436.0677795410156,234.65301513671875,709.9567260742188,20122.83761291504,10098.051992830318,17642.02734375,6076.50146484375,56157.6953125,0.6138795350678266,0.09616260473712564,0.6135323643684387,0.31153425574302673,0.9301650524139404,2.5411772798746823,0.3574315476046626,2.5337440967559814,1.555617094039917,3.9509084224700928
56,3656,7,793.2236120700836,16384,399,2560,13.517204985297717,2.112063278952768,10.0,10.0,36.56,17.465577574188607,41.5,3,103,-107.53950646042824,61.06096419246489,-137.68913888931274,-199.64161837100983,14.989381194114685,36.56,17.465577574188607,41.5,3,103,-86.59664984456982,47.983672094664115,-112.835517724912,-124.06258420855852,14.606310699415207,0.27,0.4439594576084623,0.0,False,True,-0.004936076283481114,0.010071133711476036,-0.0006051531744545591,-0.019166185683549025,0.04655600026479284,472.4097517967224,94.31812403898977,470.7758331298828,254.5463409423828,804.3348388671875,19439.271043395995,9900.933576256599,17170.6181640625,5012.90380859375,71525.71875,0.6906989717856049,0.09140100157724348,0.6903506219387054,0.4894266128540039,0.9512823224067688,2.7923306740820406,0.35088590784204077,2.7875882387161255,1.983938455581665,3.7936253547668457
54,3683,8,928.9624874591827,18432,453,2880,15.087792602740764,2.357467594178244,10.0,10.0,36.83,16.243801894876704,42.0,3,87,-108.525168210119,58.46711289468936,-137.77847415208817,-164.76935017108917,14.989381194114685,36.83,16.243801894876704,42.0,3,87,-87.53387694017812,46.504144836221236,-112.28810078062958,-127.6116318933291,14.606310699415207,0.25,0.4330127018922193,0.0,False,True,-0.004774036693762997,0.008315331218986251,-0.0005289779386101756,-0.019038561677430205,0.014087921923522345,468.3321710109711,92.0979531972511,462.3666076660156,243.97662353515625,817.689208984375,24560.758560180664,12876.347661346554,22160.576171875,5249.115234375,82363.1015625,0.6182004536502064,0.09555163172744524,0.6085251569747925,0.3785473704338074,0.8747879266738892,2.7171016093343496,0.38399885420559754,2.7016206979751587,1.7411377429962158,3.7928762435913086
53,3763,9,1036.7104218006134,20480,506,3200,19.00732494332853,2.9698945223950832,10.0,10.0,37.63,15.563196972344723,42.0,3,90,-109.64741009257733,53.97092178927194,-136.99774742126465,-178.30493664741516,12.916431665420532,37.63,15.563196972344723,42.0,3,90,-88.89631982711468,42.61218822137779,-111.38192790348057,-121.65991232247045,12.554311697673796,0.28,0.4489988864128729,0.0,False,True,-0.00530729188268577,0.00920034034710812,-0.0007955771304253567,-0.019038561677430205,0.03003243391861432,396.5500603199005,76.85312849252362,392.80335998535156,200.99476623535156,659.349365234375,22111.57527923584,12781.326725216275,18483.5048828125,4776.56884765625,87063.2109375,0.6540886084549129,0.084910910158483,0.6574097871780396,0.4297862648963928,0.87522292137146,2.7956513822078706,0.3595214688340303,2.787751078605652,1.9462889432907104,3.79500412940979
