Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,SuccessAverage,SuccessStd,SuccessMedian,SuccessMin,SuccessMax,InsertDepthAverage,InsertDepthStd,InsertDepthMedian,InsertDepthMin,InsertDepthMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax
79,1806,0,215.68994975090027,2048,79,320,nan,nan,10.0,10.0,22.860759493670887,5.35270942209145,22.0,4,46,-62.1508543415443,23.382155955196225,-71.34432780742645,-88.30842888355255,12.9902845621109,22.860759493670887,5.35270942209145,22.0,4,46,-55.631015427794225,20.15347186683692,-63.83376699722236,-74.86411594899954,12.480379524271962,0.20253164556962025,0.4018862750984189,0.0,False,True,-0.004300020686221879,0.007794418852545893,-0.0006502928819223375,-0.01866818049184256,0.010312249815086466,323.0894010066986,211.7490358447293,231.59549713134766,133.55654907226562,1222.4014892578125,15549.236989974976,16913.119198790802,7356.59423828125,1938.3446044921875,75288.640625,1.8722989454865455,0.3074799836481366,2.0131970643997192,1.1605554819107056,2.243699073791504,7.558365524560213,1.9279747066726862,8.37993860244751,3.4429399967193604,10.50535774230957
81,2649,1,407.9181606769562,4096,160,640,10.65400333350551,1.664688020860236,10.0,10.0,26.49,11.752867735152982,24.0,6,115,-69.51919122196733,20.550188499481376,-73.0365277081728,-155.24871516227722,8.358325719833374,26.49,11.752867735152982,24.0,6,115,-61.029177951658895,16.440739929253763,-64.78003166749286,-103.17338629733301,7.646447950950716,0.11,0.31288975694324034,0.0,False,True,-0.00200207560422482,0.006487556099175406,-0.00014638880176134905,-0.018648061205246175,0.010773900603013448,140.10991637706758,24.786343670896066,138.12303924560547,78.56226348876953,251.3415985107422,6389.08483581543,3830.755907331879,5148.70849609375,1852.6866455078125,24850.8515625,2.109085326269269,0.0883519669369986,2.11569607257843,1.7829700708389282,2.354816198348999,9.175895836949348,0.7871688651150823,9.22341251373291,6.695679664611816,11.380640983581543
72,2611,2,588.223268032074,6144,232,960,11.358524614426955,1.7747694710042117,10.0,10.0,26.11,5.475207758615192,25.0,9,52,-69.35104793991894,17.355971120147778,-72.91377609968185,-92.7991524040699,4.13454657793045,26.11,5.475207758615192,25.0,9,52,-61.00934984866845,14.624338506110538,-64.0608677258626,-78.02409432834662,3.1091943781033553,0.08,0.2712931993250107,0.0,False,True,-0.0017488988191873328,0.005979164006736004,-4.854302626440543e-05,-0.018703790061023073,0.008716292810388437,151.52603881359101,26.118262330030525,149.19126892089844,86.3581314086914,248.18817138671875,6480.043329238892,3529.7036638178292,5435.763427734375,1830.317626953125,22011.869140625,2.0656042363494636,0.06708318670033372,2.0695977210998535,1.8521921634674072,2.2425050735473633,8.877098886668682,0.5516382217366371,8.890196323394775,7.215158462524414,10.621088981628418
72,2797,3,773.7323915958405,8192,304,1280,11.039888285041815,1.7249825445377835,10.0,10.0,27.97,10.249346320619672,26.0,13,111,-71.1774063896574,20.800368360404818,-73.21220684051514,-189.96399354934692,1.7149139642715454,27.97,10.249346320619672,26.0,13,111,-61.97516522969,14.685782532820552,-64.41924575772761,-111.86905520575382,0.06820941987781026,0.09,0.28618176042508375,0.0,False,True,-0.002043606825458269,0.006371673204547535,8.48967721643612e-05,-0.018703790061023073,0.005672301371829086,135.73334259986876,29.23194750255057,131.97386169433594,76.7439193725586,259.2933654785156,6337.930857086181,3465.8998599650245,5285.2138671875,1406.49169921875,21598.767578125,2.082141648605466,0.06474149121835404,2.0823787450790405,1.8874790668487549,2.255567789077759,9.030322942137719,0.5259102945333777,9.021302223205566,7.559839248657227,10.52679443359375
79,2666,4,958.6063857078552,10240,383,1600,11.07781551340921,1.7309086739701889,10.0,10.0,26.66,4.660944110370774,26.0,16,61,-71.30139026451856,16.928529468615338,-73.93059343099594,-112.35727894306183,-6.995046257972717,26.66,4.660944110370774,26.0,16,61,-62.62831679580734,13.699968387243294,-65.30344233881661,-84.27082468630817,-8.467889628542626,0.08,0.2712931993250107,0.0,False,True,-0.0015687125017096743,0.0058234767182372745,0.00029288239084650225,-0.018677390505590474,0.004143107384620093,145.83467898368835,24.2969482755458,144.68092346191406,86.73242950439453,218.6506805419922,8010.40284690857,4965.067020777909,6422.9658203125,1407.5635986328125,27495.353515625,2.098623527213931,0.06158821854567418,2.1000704765319824,1.925971269607544,2.273097038269043,9.091351109743119,0.5234443020008082,9.096221446990967,7.625486373901367,10.666125297546387
78,2639,5,1122.8945059776306,12288,461,1920,12.465904391851375,1.9477975612267775,10.0,10.0,26.39,6.423231274055139,26.0,3,61,-65.58038560239598,23.802787892167295,-73.70563799142838,-95.78559100627899,17.031866431236267,26.39,6.423231274055139,26.0,3,61,-57.881720843609585,19.977040813257204,-65.3267586951942,-79.93404713638486,16.650546199131014,0.16,0.36660605559646714,0.0,False,True,-0.003699097188045697,0.007700650845105834,1.663041625428463e-05,-0.018677390505590474,0.006837901260736801,145.4823987007141,24.52011612656981,142.43446350097656,87.15034484863281,261.1788024902344,8103.0606094360355,5187.546370274412,6487.60595703125,1873.75244140625,38972.6953125,2.149850744381547,0.05960142284984163,2.151169538497925,1.963516116142273,2.297722816467285,9.572533267736436,0.52800188177528,9.566171169281006,8.150444984436035,11.010035514831543
75,2701,6,1288.1711959838867,14336,536,2240,12.391342057506588,1.9361471964854042,10.0,10.0,27.01,6.780110618566632,26.0,12,71,-68.51136106416583,20.57032630989197,-74.64215141534805,-90.40260255336761,5.576071068644524,27.01,6.780110618566632,26.0,12,71,-60.18952996284786,17.337473616051515,-65.92472433786492,-76.76270619663748,3.944250560589806,0.11,0.31288975694324034,0.0,False,True,-0.0029059589429543853,0.006918051823598356,3.124848880763087e-05,-0.018940681906954943,0.00565712873036342,139.16536610126496,23.69289702825244,136.204345703125,78.23837280273438,218.59986877441406,8158.322410202027,4877.04370497411,6627.36181640625,1946.8748779296875,26559.697265625,2.102235182002187,0.06008517274185556,2.102648973464966,1.9491181373596191,2.320725440979004,9.194694727659225,0.5029277085370091,9.126789093017578,7.78579044342041,11.256306648254395
74,2723,7,1469.6691510677338,16384,610,2560,11.283873689121624,1.7631052639252538,10.0,10.0,27.23,6.529709028739335,27.0,12,71,-67.12310960974544,21.16388297424383,-74.12308520078659,-95.34875512123108,5.805705156177282,27.23,6.529709028739335,27.0,12,71,-58.87980485980572,17.743708368464233,-64.90379967557978,-81.01394341430192,3.944250560589806,0.13,0.33630343441600474,0.0,False,True,-0.0025956452426481335,0.00711606840324455,7.03248745485413e-05,-0.018940681906954943,0.010199436465995554,128.24737141132354,23.712381236810444,125.92262268066406,57.65104675292969,214.75633239746094,7620.583753204346,4360.153587568827,6472.48193359375,1505.167724609375,26002.4375,2.1083904322236777,0.06760236488812496,2.112166404724121,1.8903818130493164,2.2963943481445312,9.415326261520386,0.573879268649348,9.401766777038574,7.742962837219238,11.128047943115234
79,2640,8,1668.639028787613,18432,689,2880,10.29301532206442,1.6082836440725654,10.0,10.0,26.4,4.228474902373195,26.0,18,50,-69.77165676437318,18.83283066603225,-74.70871537923813,-88.77658593654633,5.805705156177282,26.4,4.228474902373195,26.0,18,50,-61.4319592994992,15.825117821224694,-65.730107339252,-75.72633694670701,3.367407632806085,0.09,0.2861817604250837,0.0,False,True,-0.0015485832591681983,0.005977289460428896,0.0002212680295783781,-0.018413650201016082,0.010199436465995554,130.9702601671219,21.230963287171676,129.84429168701172,70.71440124511719,193.63124084472656,8218.451058578492,5111.827195662239,6684.95361328125,1735.844482421875,26290.3828125,2.073120282590389,0.06608958966605144,2.075225353240967,1.8659924268722534,2.2224009037017822,9.041331113874913,0.5588560078938293,9.031778335571289,7.5533952713012695,10.55095100402832
76,2621,9,1861.4396274089813,20480,765,3200,10.622373657780836,1.6597458840282557,10.0,10.0,26.21,5.0622030777123115,26.0,4,43,-68.50444185163826,19.25205063901808,-73.46352142095566,-87.6758246421814,12.596728086471558,26.21,5.0622030777123115,26.0,4,43,-60.20283170567986,16.4708741395931,-65.12905106692102,-76.21378259615997,12.071002643717764,0.09,0.28618176042508375,0.0,False,True,-0.0021831465634704066,0.006023296043893584,1.5599533924715026e-05,-0.018473537350194164,0.0029021537932623076,133.44040095806122,25.52405614324374,130.8117218017578,66.01324462890625,221.3420867919922,9159.765399551392,6087.497051007667,7513.35693359375,1513.4559326171875,38535.796875,2.062103422358632,0.06354662805059721,2.0577542781829834,1.8728935718536377,2.2315549850463867,8.862072305381298,0.5330056270236246,8.819172859191895,7.448732852935791,10.4078369140625
